Tweet,Tweet Length,Cleaned_Tweet,Cleaned_Length,Normalized_Tweet,Normalized_Length,Tokenized_Tweet,Token_Count,No_Stopwords_Tweet,No_Stopwords_Count,Stemmed_Tweet,Stemmed_Count,Sentimen
Jamal Nasir cadang bekas atlet dilantik sertai Kabinet,8,jamal nasir cadang bekas atlet dilantik sertai kabinet,8,jamal nasir cadang bekas atlet dilantik sertai kabinet,8,"[""jamal"", ""nasir"", ""cadang"", ""bekas"", ""atlet"", ""dilantik"", ""sertai"", ""kabinet""]",79,"[""jamal"", ""nasir"", ""cadang"", ""bekas"", ""atlet"", ""dilantik"", ""sertai"", ""kabinet""]",8,"[""jamal"", ""nasir"", ""cadang"", ""bekas"", ""atlet"", ""lantik"", ""serta"", ""kabinet""]",8,netral
@CNNIndonesia Akibat kabinet terlalu gemoy,5,cnnindonesia akibat kabinet terlalu gemoy,5,cnnindonesia akibat kabinet terlalu gemoy,5,"[""cnnindonesia"", ""akibat"", ""kabinet"", ""terlalu"", ""gemoy""]",57,"[""cnnindonesia"", ""akibat"", ""kabinet"", ""gemoy""]",4,"[""cnnindonesia"", ""akibat"", ""kabinet"", ""gemoy""]",4,netral
  Kabinet sekarang seharusnya bukan kabinet Indonesia Maju tetapi Kabinet Balas Budi. Sah sah saja ingin jadi menteri dari TNI tidak perlu Jendral. Tetapi seharusnya sesuai aturan dan UU propesional di bidangnya,31,kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,31,kabinet sekarang seharusnya bukan kabinet indonesia maju tetapi kabinet balas budi sah sah saja ingin jadi menteri dari tni tidak perlu jendral tetapi seharusnya sesuai aturan dan uu propesional di bidangnya,31,"[""kabinet"", ""sekarang"", ""seharusnya"", ""bukan"", ""kabinet"", ""indonesia"", ""maju"", ""tetapi"", ""kabinet"", ""balas"", ""budi"", ""sah"", ""sah"", ""saja"", ""ingin"", ""jadi"", ""menteri"", ""dari"", ""tni"", ""tidak"", ""perlu"", ""jendral"", ""tetapi"", ""seharusnya"", ""sesuai"", ""aturan"", ""dan"", ""uu"", ""propesional"", ""di"", ""bidangnya""]",301,"[""kabinet"", ""kabinet"", ""indonesia"", ""maju"", ""kabinet"", ""balas"", ""sah"", ""sah"", ""menteri"", ""tni"", ""jendral"", ""sesuai"", ""aturan"", ""uu"", ""propesional"", ""bidangnya""]",16,"[""kabinet"", ""kabinet"", ""indonesia"", ""maju"", ""kabinet"", ""balas"", ""sah"", ""sah"", ""menteri"", ""tni"", ""jendral"", ""sesuai"", ""atur"", ""uu"", ""propesional"", ""bidang""]",16,positif
Kabinet ga jelas,3,kabinet ga jelas,3,kabinet ga jelas,3,"[""kabinet"", ""ga"", ""jelas""]",26,"[""kabinet""]",1,"[""kabinet""]",1,netral
Kabinet harap cemas,3,kabinet harap cemas,3,kabinet harap cemas,3,"[""kabinet"", ""harap"", ""cemas""]",29,"[""kabinet"", ""harap"", ""cemas""]",3,"[""kabinet"", ""harap"", ""cemas""]",3,netral
@Intel_Imut ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,15,intel_imut ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,15,intel_imut ganti aja kabinet retwait menjadi kabinet saling sandera belum seminggu uda byk bener dramanya,15,"[""intel_imut"", ""ganti"", ""aja"", ""kabinet"", ""retwait"", ""menjadi"", ""kabinet"", ""saling"", ""sandera"", ""belum"", ""seminggu"", ""uda"", ""byk"", ""bener"", ""dramanya""]",151,"[""intel_imut"", ""ganti"", ""kabinet"", ""retwait"", ""kabinet"", ""sandera"", ""seminggu"", ""uda"", ""byk"", ""bener"", ""dramanya""]",11,"[""intel"", ""imut"", ""ganti"", ""kabinet"", ""retwait"", ""kabinet"", ""sandera"", ""minggu"", ""uda"", ""byk"", ""bener"", ""drama""]",12,positif
@jatmiko99604253 @CNNIndonesia Pastikan dulu...karena itu statement keluar dari mulut si Hasjim bukan langsung dari Prabowo...Hasjim itu cuma Pengurus Partai Gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan....,29,jatmiko99604253 cnnindonesia pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,29,jatmiko99604253 cnnindonesia pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,29,"[""jatmiko99604253"", ""cnnindonesia"", ""pastikan"", ""dulukarena"", ""itu"", ""statement"", ""keluar"", ""dari"", ""mulut"", ""si"", ""hasjim"", ""bukan"", ""langsung"", ""dari"", ""prabowohasjim"", ""itu"", ""cuma"", ""pengurus"", ""partai"", ""gerindra"", ""bukan"", ""anggota"", ""kabinet"", ""jadi"", ""tidak"", ""ada"", ""wewenang"", ""buat"", ""menyuarakan""]",309,"[""jatmiko99604253"", ""cnnindonesia"", ""pastikan"", ""dulukarena"", ""statement"", ""mulut"", ""hasjim"", ""langsung"", ""prabowohasjim"", ""pengurus"", ""partai"", ""gerindra"", ""anggota"", ""kabinet"", ""wewenang"", ""menyuarakan""]",16,"[""jatmiko99604253"", ""cnnindonesia"", ""pasti"", ""dulukarena"", ""statement"", ""mulut"", ""hasjim"", ""langsung"", ""prabowohasjim"", ""urus"", ""partai"", ""gerindra"", ""anggota"", ""kabinet"", ""wewenang"", ""suara""]",16,netral
Revolusi Kabinet! 48 Kementerian Baru Kekacauan Mengancam Pemerintahan Prabowo ? ,10,revolusi kabinet 48 kementerian baru kekacauan mengancam pemerintahan prabowo,9,revolusi kabinet 48 kementerian baru kekacauan mengancam pemerintahan prabowo,9,"[""revolusi"", ""kabinet"", ""48"", ""kementerian"", ""baru"", ""kekacauan"", ""mengancam"", ""pemerintahan"", ""prabowo""]",105,"[""revolusi"", ""kabinet"", ""48"", ""kementerian"", ""kekacauan"", ""mengancam"", ""pemerintahan"", ""prabowo""]",8,"[""revolusi"", ""kabinet"", ""48"", ""menteri"", ""kacau"", ""ancam"", ""perintah"", ""prabowo""]",8,netral
Kabinet baru udh release dan org2 di sekitar gw lebih milih ngomongin kucing istana. Makin yakin skenario dlm kepala gw kemarin bakal kejadian.,23,kabinet baru udh release dan org2 di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,23,kabinet baru udh release dan org2 di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,23,"[""kabinet"", ""baru"", ""udh"", ""release"", ""dan"", ""org2"", ""di"", ""sekitar"", ""gw"", ""lebih"", ""milih"", ""ngomongin"", ""kucing"", ""istana"", ""makin"", ""yakin"", ""skenario"", ""dlm"", ""kepala"", ""gw"", ""kemarin"", ""bakal"", ""kejadian""]",211,"[""kabinet"", ""release"", ""org2"", ""milih"", ""ngomongin"", ""kucing"", ""istana"", ""skenario"", ""kepala"", ""kemarin"", ""kejadian""]",11,"[""kabinet"", ""release"", ""org2"", ""milih"", ""ngomongin"", ""kucing"", ""istana"", ""skenario"", ""kepala"", ""kemarin"", ""jadi""]",11,netral
Dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter2. Blm urusan sm instansi non K/L lainnya. Smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya ....seger waras njih bu,32,dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter2 blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,32,dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter2 blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,32,"[""dr"", ""kacamata"", ""sy"", ""kabinet"", ""yg"", ""gemuk"", ""birokrasinya"", ""jg"", ""lbh"", ""muter2"", ""blm"", ""urusan"", ""sm"", ""instansi"", ""non"", ""kl"", ""lainnya"", ""smg"", ""bu"", ""menkeu"", ""gk"", ""tmbh"", ""puyeng"", ""ini"", ""mikir"", ""negara"", ""dan"", ""duitnya"", ""seger"", ""waras"", ""njih"", ""bu""]",271,"[""kacamata"", ""sy"", ""kabinet"", ""gemuk"", ""birokrasinya"", ""lbh"", ""muter2"", ""urusan"", ""sm"", ""instansi"", ""non"", ""kl"", ""smg"", ""bu"", ""menkeu"", ""tmbh"", ""puyeng"", ""mikir"", ""negara"", ""duitnya"", ""seger"", ""waras"", ""njih"", ""bu""]",24,"[""kacamata"", ""sy"", ""kabinet"", ""gemuk"", ""birokrasi"", ""lbh"", ""muter2"", ""urus"", ""sm"", ""instansi"", ""non"", ""kl"", ""smg"", ""bu"", ""menkeu"", ""tmbh"", ""puyeng"", ""mikir"", ""negara"", ""duit"", ""seger"", ""waras"", ""njih"", ""bu""]",24,negatif
Dalam dialog di hadapan pengurus Kadin Ketua Umum Kadin Indonesia @anindyabakrie yakin terget pertumbuhan ekonomi 8 persen bisa dicapai karena kabinet diisi orang-orang yang kompeten dan melanjutkan capaian yang ada.,30,dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia anindyabakrie yakin terget pertumbuhan ekonomi 8 persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,30,dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia anindyabakrie yakin terget pertumbuhan ekonomi 8 persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,30,"[""dalam"", ""dialog"", ""di"", ""hadapan"", ""pengurus"", ""kadin"", ""ketua"", ""umum"", ""kadin"", ""indonesia"", ""anindyabakrie"", ""yakin"", ""terget"", ""pertumbuhan"", ""ekonomi"", ""8"", ""persen"", ""bisa"", ""dicapai"", ""karena"", ""kabinet"", ""diisi"", ""orangorang"", ""yang"", ""kompeten"", ""dan"", ""melanjutkan"", ""capaian"", ""yang"", ""ada""]",304,"[""dialog"", ""hadapan"", ""pengurus"", ""kadin"", ""ketua"", ""kadin"", ""indonesia"", ""anindyabakrie"", ""terget"", ""pertumbuhan"", ""ekonomi"", ""8"", ""persen"", ""dicapai"", ""kabinet"", ""diisi"", ""orangorang"", ""kompeten"", ""melanjutkan"", ""capaian""]",20,"[""dialog"", ""hadap"", ""urus"", ""kadin"", ""ketua"", ""kadin"", ""indonesia"", ""anindyabakrie"", ""terget"", ""tumbuh"", ""ekonomi"", ""8"", ""persen"", ""capai"", ""kabinet"", ""isi"", ""orangorang"", ""kompeten"", ""lanjut"", ""capai""]",20,netral
@V3g3L Mantep dah mikir target korupsi lbh awal! Anda emang top curi start utk pesta korup kabinet baru @NataliusPigai2,19,v3g3l mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru nataliuspigai2,19,v3g3l mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru nataliuspigai2,19,"[""v3g3l"", ""mantep"", ""dah"", ""mikir"", ""target"", ""korupsi"", ""lbh"", ""awal"", ""anda"", ""emang"", ""top"", ""curi"", ""start"", ""utk"", ""pesta"", ""korup"", ""kabinet"", ""baru"", ""nataliuspigai2""]",174,"[""v3g3l"", ""mantep"", ""mikir"", ""target"", ""korupsi"", ""lbh"", ""emang"", ""top"", ""curi"", ""start"", ""pesta"", ""korup"", ""kabinet"", ""nataliuspigai2""]",14,"[""v3g3l"", ""mantep"", ""mikir"", ""target"", ""korupsi"", ""lbh"", ""emang"", ""top"", ""curi"", ""start"", ""pesta"", ""korup"", ""kabinet"", ""nataliuspigai2""]",14,negatif
Menyalah kabinet Merah Putih ,4,menyalah kabinet merah putih,4,menyalah kabinet merah putih,4,"[""menyalah"", ""kabinet"", ""merah"", ""putih""]",41,"[""menyalah"", ""kabinet"", ""merah"", ""putih""]",4,"[""salah"", ""kabinet"", ""merah"", ""putih""]",4,negatif
Memang sih ada Prof2 dari Univ Mentereng di Kabinet...... Namun coba deh ditelusuri background pendidikan beberapa anggota kabinet... Unik2 memang...,20,memang sih ada prof2 dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik2 memang,20,memang sih ada prof2 dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik2 memang,20,"[""memang"", ""sih"", ""ada"", ""prof2"", ""dari"", ""univ"", ""mentereng"", ""di"", ""kabinet"", ""namun"", ""coba"", ""deh"", ""ditelusuri"", ""background"", ""pendidikan"", ""beberapa"", ""anggota"", ""kabinet"", ""unik2"", ""memang""]",198,"[""prof2"", ""univ"", ""mentereng"", ""kabinet"", ""coba"", ""ditelusuri"", ""background"", ""pendidikan"", ""anggota"", ""kabinet"", ""unik2""]",11,"[""prof2"", ""univ"", ""mentereng"", ""kabinet"", ""coba"", ""telusur"", ""background"", ""didik"", ""anggota"", ""kabinet"", ""unik2""]",11,netral
@QuoteAja Ijazah palsu Uang palsu Sistem palsu KABINET palsu,9,quoteaja ijazah palsu uang palsu sistem palsu kabinet palsu,9,quoteaja ijazah palsu uang palsu sistem palsu kabinet palsu,9,"[""quoteaja"", ""ijazah"", ""palsu"", ""uang"", ""palsu"", ""sistem"", ""palsu"", ""kabinet"", ""palsu""]",87,"[""quoteaja"", ""ijazah"", ""palsu"", ""uang"", ""palsu"", ""sistem"", ""palsu"", ""kabinet"", ""palsu""]",9,"[""quoteaja"", ""ijazah"", ""palsu"", ""uang"", ""palsu"", ""sistem"", ""palsu"", ""kabinet"", ""palsu""]",9,netral
@CakKhum Semoga bapak presiden punya sikap yg sama terhadap orangÂ² di lingkaran kabinet Anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu.,24,cakkhum semoga bapak presiden punya sikap yg sama terhadap orangâ² di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,24,cakkhum semoga bapak presiden punya sikap yg sama terhadap orangâ² di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,24,"[""cakkhum"", ""semoga"", ""bapak"", ""presiden"", ""punya"", ""sikap"", ""yg"", ""sama"", ""terhadap"", ""orangâ²"", ""di"", ""lingkaran"", ""kabinet"", ""anda"", ""yg"", ""tidak"", ""kredibel"", ""dan"", ""kompeten"", ""segera"", ""copot"", ""tidak"", ""pandang"", ""bulu""]",228,"[""cakkhum"", ""semoga"", ""presiden"", ""sikap"", ""orangâ²"", ""lingkaran"", ""kabinet"", ""kredibel"", ""kompeten"", ""copot"", ""pandang"", ""bulu""]",12,"[""cakkhum"", ""moga"", ""presiden"", ""sikap"", ""orang"", ""lingkar"", ""kabinet"", ""kredibel"", ""kompeten"", ""copot"", ""pandang"", ""bulu""]",12,negatif
@yusuf_dumdum Woiiii... 5 tahun.... Abis ganti kabinet,7,yusuf_dumdum woiiii 5 tahun abis ganti kabinet,7,yusuf_dumdum woiiii 5 tahun abis ganti kabinet,7,"[""yusuf_dumdum"", ""woiiii"", ""5"", ""tahun"", ""abis"", ""ganti"", ""kabinet""]",68,"[""yusuf_dumdum"", ""woiiii"", ""5"", ""abis"", ""ganti"", ""kabinet""]",6,"[""yusuf"", ""dumdum"", ""woiiii"", ""5"", ""abis"", ""ganti"", ""kabinet""]",7,negatif
@rachlannashidik Nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi Indonesia. Kemarin kmn aja skarang baru teriak....,30,rachlannashidik nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,30,rachlannashidik nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,30,"[""rachlannashidik"", ""nasi"", ""dah"", ""jd"", ""bubur"", ""mukidi"", ""sudah"", ""berakar"", ""melalui"", ""fufufafa"", ""dan"", ""yg"", ""masih"", ""ada"", ""dlm"", ""second"", ""kabinet"", ""brikut"", ""para"", ""naga"", ""yg"", ""menguasai"", ""bumi"", ""indonesia"", ""kemarin"", ""kmn"", ""aja"", ""skarang"", ""baru"", ""teriak""]",279,"[""rachlannashidik"", ""nasi"", ""bubur"", ""mukidi"", ""berakar"", ""second"", ""kabinet"", ""brikut"", ""naga"", ""menguasai"", ""bumi"", ""indonesia"", ""kemarin"", ""kmn"", ""skarang"", ""teriak""]",16,"[""rachlannashidik"", ""nasi"", ""bubur"", ""mukidi"", ""akar"", ""second"", ""kabinet"", ""brikut"", ""naga"", ""kuasa"", ""bumi"", ""indonesia"", ""kemarin"", ""kmn"", ""skarang"", ""teriak""]",16,negatif
@BosPurwa Pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet.,17,bospurwa pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,17,bospurwa pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,17,"[""bospurwa"", ""pks"", ""memangemdukung"", ""anies"", ""saat"", ""pilpres"", ""kemarin"", ""gelora"", ""bakal"", ""gak"", ""terima"", ""kalau"", ""ada"", ""kader"", ""pks"", ""masuk"", ""kabinet""]",164,"[""bospurwa"", ""pks"", ""memangemdukung"", ""anies"", ""pilpres"", ""kemarin"", ""gelora"", ""gak"", ""terima"", ""kader"", ""pks"", ""masuk"", ""kabinet""]",13,"[""bospurwa"", ""pks"", ""memangemdukung"", ""anies"", ""pilpres"", ""kemarin"", ""gelora"", ""gak"", ""terima"", ""kader"", ""pks"", ""masuk"", ""kabinet""]",13,negatif
