Tweet,Sentimen,Tweet Length,Tokenized
 gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah kabinet masih di isi orang nya mulyono thanks bude susi kami merindukan ibu untuk bisa berkhidmat lagi untuk nkri tercinta ini ,negatif,35,"['gak', 'kalo', 'kabinet', 'penuh', 'harap', 'rakyat', 'lihat', 'kabinet', 'isi', 'orang', 'nya', 'mulyono', 'thanks', 'bude', 'sus', 'rindu', 'khidmat', 'nkri', 'cinta']"
presiden prabowo subianto memimpin sidang kabinet paripurna pertama di kantor presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan ometv cat baim pecat ketuhanan yang maha esa ,netral,33,"['presiden', 'prabowo', 'subianto', 'pimpin', 'sidang', 'kabinet', 'paripurna', 'kantor', 'presiden', 'jajar', 'menteri', 'lembaga', 'prioritas', 'program', 'swasembada', 'pangan', 'ometv', 'cat', 'baim', 'pecat', 'tuhan', 'maha', 'esa']"
 semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,netral,14,"['moga', 'kabinet', 'kerja', 'maksimal', 'rakyat']"
kabinet hurahura pembekalannya pun dilakukan di magelang indikasi megalomania ,negatif,9,"['kabinet', 'hurahura', 'bekal', 'magelang', 'indikasi', 'megalomania']"
pak berhati lahitu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyajgn asyik urusin badut kabinet itu pak,negatif,21,"['hati', 'lahitu', 'bocil', 'indikasi', 'citra', 'pamor', 'tenggelam', 'dibuatnyajgn', 'asyik', 'urusin', 'badut', 'kabinet']"
 semoga kabinet jowo jokowi prabowo ini di ganti dengan kabinet pak presiden probowo,negatif,14,"['moga', 'kabinet', 'jowo', 'jokowi', 'prabowo', 'ganti', 'kabinet', 'presiden', 'probowo']"
 kabinet halu,negatif,3,"['kabinet', 'halu']"
kabinet kacau balau mau bagaimana nasih nkri th kedepan etika berpolitik moralitas berpolitik dll bukan untuk warga nkri hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,negatif,34,"['kabinet', 'kacau', 'balau', 'nasih', 'nkri', 'th', 'depan', 'etika', 'politik', 'moralitas', 'politik', 'warga', 'nkri', 'kebiri', 'kitakita', 'bodoh', 'warga', 'didik', 'bius', 'warga', 'jamah', 'ilmu']"
 apakah beliau bisa jadi raja tega demi kepentingan pemerintah spt jkw atau malah ga tegaan yg akhirnya malah jadi beban kabinet,negatif,22,"['beliau', 'raja', 'tega', 'penting', 'perintah', 'tega', 'beban', 'kabinet']"
 jerome polin harusnya diajak gabung kabinet merah putih,netral,9,"['jerome', 'polin', 'ajak', 'gabung', 'kabinet', 'merah', 'putih']"
 bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,negatif,16,"['kabinet', 'nak', 'tolak', 'duit', 'masuk', 'kabinet', 'budget']"
 pigai amp yandri are pains in as kabinet probowo gibran periode perdana sih menurut gw om treatment ps ke kedua org ini cocoknya sama seperti treatment yg dikasih jkw ke rizal ramli di periode jkw jk dikasih target kerja kalo ga perform tinggal kick disini ps akan diuji,netral,51,"['pigai', 'amp', 'yandri', 'are', 'pains', 'in', 'as', 'kabinet', 'probowo', 'gibran', 'periode', 'perdana', 'om', 'treatment', 'ps', 'org', 'cocok', 'treatment', 'kasih', 'rizal', 'ramli', 'periode', 'jk', 'kasih', 'target', 'kerja', 'kalo', 'perform', 'tinggal', 'kick', 'ps', 'uji']"
lebih baik ini maknanya masih multidimensi bli baik yg bagaiman baik untuk siapa baik apanya ampura respon saya untuk kabinet titipan ini masih nokomen wait n see seken megae beneh ape cm retorika di depan media gen ane luung,negatif,39,"['makna', 'multidimensi', 'bli', 'bagaiman', 'apa', 'ampura', 'respon', 'kabinet', 'titip', 'nokomen', 'wait', 'n', 'see', 'ken', 'megae', 'beneh', 'ape', 'cm', 'retorika', 'media', 'gen', 'ane', 'luung']"
 baru belajar kabinet ko isi nya orang yg baru belajar ya gimna mau bantu urus negara mentri nya baru belajar berarti blm ada pengalaman apa dong begitu banyak pertanyaan di otak gua skrng,negatif,34,"['ajar', 'kabinet', 'ko', 'isi', 'nya', 'orang', 'ajar', 'gimna', 'bantu', 'urus', 'negara', 'tri', 'nya', 'ajar', 'alam', 'otak', 'skrng']"
kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,negatif,14,"['pikir', 'nambahnya', 'kabinet', 'tri', 'kantor', 'taruh', 'mana']"
 lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun sampe ada jabatan diluat kabinet kl dia pinter thn kaga mandek jd presiden bs jd prrsiden jg krn jokodok t cui abisnya wkwk ,negatif,56,"['junjung', 'aku', 'org', 'pinter', 'butuh', 'org', 'pinter', 'sekitar', 'thats', 'why', 'tri', 'bejibun', 'sampe', 'jabat', 'luat', 'kabinet', 'kl', 'pinter', 'thn', 'mandek', 'presiden', 'prrsiden', 'jokodok', 't', 'cui', 'abis', 'wkwk']"
 mantul pak menteri rja rapat kabinet paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,positif,17,"['mantul', 'menteri', 'rja', 'rapat', 'kabinet', 'paripurna', 'perdana', 'baik', 'cerdas', 'bangsa']"
 mestinya yg di push total bukan di pak atau pak saja justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin caranya gmn yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ,netral,48,"['mesti', 'push', 'total', 'dng', 'duduk', 'orang', 'kabinet', 'jadi', 'peluang', 'buka', 'borok', 'kerjaankerjaan', 'kemarin', 'gmn', 'yaa', 'push', 'total', 'perangkat', 'hukum', 'biar', 'sehat', 'kerja', 'nyata']"
 jangan cuma omon omon alias lips service ala mulyono awokwokwok buktikan badan penerimaan gagal zaken kabinet gagal naikan gaji guru belum terlaksana oktober,negatif,28,"['omon', 'omon', 'alias', 'lips', 'service', 'mulyono', 'awokwokwok', 'bukti', 'badan', 'terima', 'gagal', 'zaken', 'kabinet', 'gagal', 'naik', 'gaji', 'guru', 'laksana', 'oktober']"
kabinet prabowo ni kok kebanyakan retorika kenapa ya,negatif,8,"['kabinet', 'prabowo', 'banyak', 'retorika']"
 isu kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta dan menyebut bbrp nama akan merapat ke presiden isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,negatif,33,"['isu', 'kemaren', 'gagal', 'bikin', 'gibran', 'gagal', 'lantik', 'bikin', 'isu', 'kudeta', 'sebut', 'bbrp', 'nama', 'rapat', 'presiden', 'isu', 'dpt', 'drmn', 'tifa', 'kau', 'paranormal', 'orang', 'kabinet', 'dpt', 'bisik']"
 wah keren kabinet merah putih sudah siap kerja cepat dan berhasil sukses pak ,positif,17,"['keren', 'kabinet', 'merah', 'putih', 'kerja', 'cepat', 'hasil', 'sukses']"
 rencana akan gagal jika prb berani undang pdip masuk ke kabinet semua tergantung keberanian prb apa mau terus berada di bawah bayang nya ,netral,25,"['rencana', 'gagal', 'prb', 'berani', 'undang', 'pdip', 'masuk', 'kabinet', 'gantung', 'berani', 'prb', 'bayang', 'nya']"
 tiap hari aja ada berita antik ttg kabinet baru,negatif,10,"['berita', 'antik', 'ttg', 'kabinet']"
rapat kabinet awal luar biasa penegasan kpd bawahannyabeda pimpinan beda gaya sistemnya kalau dulu tidak ada visi misi menteri skrng efisieni dan pembangunan ekonomi kedalammantaapd ,positif,26,"['rapat', 'kabinet', 'tegas', 'kpd', 'bawahannyabeda', 'pimpin', 'beda', 'gaya', 'sistem', 'visi', 'misi', 'menteri', 'skrng', 'efisien', 'bangun', 'ekonomi', 'kedalammantaapd']"
 jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,negatif,14,"['kabinet', 'ramping', 'efisien', 'kalo', 'gemuk', 'gimana', 'efisien']"
 termasuk jg batal menarik pdip ke kabinet intinya ikut maunya jokowi dulu begitu prabowo dilantik baru prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm sampai bulan kedepan termasuk menjegal karena jelas telah menghina harkat dan martabat prabowo,negatif,43,"['batal', 'tarik', 'pdip', 'kabinet', 'inti', 'mau', 'jokowi', 'prabowo', 'lantik', 'prabowo', 'apa', 'lalu', 'reshuffle', 'depan', 'jegal', 'hina', 'harkat', 'martabat', 'prabowo']"
 rapat kabinet paripurna perdana dan langsung tancap gas sukses,positif,12,"['rapat', 'kabinet', 'paripurna', 'perdana', 'langsung', 'tancap', 'gas', 'sukses']"
 gak ada pengen nerjunin propam pak pa kasihan di awal kabinet banyak ujian,negatif,18,"['gak', 'ken', 'nerjunin', 'propam', 'kasihan', 'kabinet', 'uji']"
melht siprabowo tersandera olh jokowi naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn si prabowo jd ri diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo siprabowo bkl jd boneka br utk kepentgn cina,negatif,47,"['melht', 'siprabowo', 'sandera', 'olh', 'jokowi', 'naga', 'susun', 'kabinet', 'dipstkn', 'rejim', 'siprabowo', 'lbh', 'zlm', 'lg', 'rejim', 'jokowi', 'prabowo', 'duga', 'kemngn', 'palsu', 'hsl', 'rkys', 'snjt', 'sijokowi', 'menyndra', 'siprabowo', 'siprabowo', 'bkl', 'boneka', 'br', 'kepentgn', 'cina']"
 cukup lengkap pengantar pembuka rapat kabinet perdana oleh presidenhanya dlm video ini tidak ada sama sekali menyinggung tentang ikn dan bagaimana rencana kedepannya dan siapa menteri penanggung jawab percepatan penyelesaian ikn apakah langsung ditangani wapres ,negatif,38,"['lengkap', 'antar', 'buka', 'rapat', 'kabinet', 'perdana', 'presidenhanya', 'video', 'singgung', 'ikn', 'rencana', 'depan', 'menteri', 'tanggung', 'cepat', 'selesai', 'ikn', 'langsung', 'tangan', 'wapres']"
 kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omonomon tuh wapres blm rapat kabinet pertama dah pencitraan,negatif,21,"['kalo', 'cuman', 'ucap', 'tindak', 'nama', 'omonomon', 'wapres', 'rapat', 'kabinet', 'citra']"
mau kedatangan tim kabinet gemoy vibes magelang dah terasa beda ,negatif,10,"['datang', 'tim', 'kabinet', 'gemoy', 'vibes', 'magelang', 'beda']"
 buat kabinet bayangan nak mintak duit macam la tak ada gaji jadi mp selama ni diminta bajet alternatif jadi mcm si badrul la pulak ,negatif,33,"['kabinet', 'bayang', 'nak', 'mintak', 'duit', 'la', 'gaji', 'mp', 'bajet', 'alternatif', 'mcm', 'badrul', 'la', 'pulak']"
politik kompromistik presiden memainkan gestur bijak dgn mengakomodir semua kepentingan hak prerogatif sbg hak konstitusional akan dipakainya hari usia kabinet yg layak lanjut yg tak layak out misi tegas pak presiden di tunggu ,netral,36,"['politik', 'kompromistik', 'presiden', 'main', 'gestur', 'bijak', 'mengakomodir', 'penting', 'hak', 'prerogatif', 'hak', 'konstitusional', 'pakai', 'usia', 'kabinet', 'layak', 'layak', 'out', 'misi', 'presiden', 'tunggu']"
 apa yang bisa diharapkan dari kabinet macam ini,negatif,9,"['harap', 'kabinet']"
 kabinet dwikora ll di orba lebih banyak lagi personal,negatif,12,"['kabinet', 'dwikora', 'll', 'orba', 'personal']"
 satu kata pecat menteri aji mumpung ini wahai pak agar nyata kabinet anda hanya diisi oleh orang bersih dan berintegritas,negatif,22,"['pecat', 'menteri', 'aji', 'mumpung', 'nyata', 'kabinet', 'isi', 'orang', 'bersih', 'integritas']"
kabinet merah putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak ,positif,29,"['kabinet', 'merah', 'putih', 'nama', 'kombinasi', 'jiwa', 'patriotisme', 'jiwa', 'begawan', 'darah', 'orang', 'begawan', 'ekonom', 'milik', 'bangsa', 'kakek']"
 birokrasi kita terkenal ribetnya dan kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet,negatif,15,"['birokrasi', 'kenal', 'ribetnya', 'kalo', 'kabinet', 'rungkad', 'ribet']"
 tempe lagi kepercayaan dan kabinet tergemuk orba dwikora ll menterinya personal hayo gimana tu,negatif,20,"['tempe', 'percaya', 'kabinet', 'gemuk', 'orba', 'dwikora', 'll', 'menteri', 'personal', 'hayo', 'gimana']"
pesan tegas pak prabowo subianto presiden ri di sidang kabinet perdana didampingi mas fufufafa ape loe ,negatif,17,"['pesan', 'prabowo', 'subianto', 'presiden', 'sidang', 'kabinet', 'perdana', 'damping', 'mas', 'ape', 'loe']"
rabu oktober sidang paripurna perdana kabinet merah putih ,netral,10,"['rabu', 'oktober', 'sidang', 'paripurna', 'perdana', 'kabinet', 'merah', 'putih']"
 ulasan politisi dan budayawan senior pak eros djarot ttg kabinet prabowo ,netral,12,"['ulas', 'politis', 'budayawan', 'senior', 'eros', 'djarot', 'ttg', 'kabinet', 'prabowo']"
 mungkin ditahan untuk disampaikan ke masy umum pak cukup dibahas di rapat kabinet,netral,14,"['tahan', 'masy', 'bahas', 'rapat', 'kabinet']"
 kabinet gemuk plus menteri nya kebanyakan bukan hasil meritokrasi tapi bagi kursi udah gemuk gak sehat amat pulak jangankan lari jalan aja susah lah jadi kayak boss nya yak ,negatif,29,"['kabinet', 'gemuk', 'plus', 'menteri', 'nya', 'banyak', 'hasil', 'meritokrasi', 'kursi', 'udah', 'gemuk', 'gak', 'sehat', 'pulak', 'lari', 'jalan', 'susah', 'kayak', 'boss', 'nya', 'yak']"
eh demiapasi wamen kabinet skrg begini yg bener ajeeeee,negatif,9,"['eh', 'apas', 'wamen', 'kabinet', 'bener', 'ajeeeee']"
 yang pasti kabinet dan dewan semakin gendut diluar efektivitas dan kemampuan anggaran negara,negatif,14,"['kabinet', 'dewan', 'gendut', 'luar', 'efektivitas', 'mampu', 'anggar', 'negara']"
 para manusia najis ini maunya apa y woi kampret prabowo itu sudah x nyapres selalu gagal baru kali ini beliau berhasil dan itu karena dukungan jokowi kemarin kalau jokowi dukung ganjar selesai sdah impian prabowo wajar kalau kabinet prabowo masih diisi beberapa wajah lama,negatif,46,"['manusia', 'najis', 'mau', 'y', 'woi', 'kampret', 'prabowo', 'x', 'nyapres', 'gagal', 'kali', 'beliau', 'hasil', 'dukung', 'jokowi', 'kemarin', 'jokowi', 'dukung', 'ganjar', 'selesai', 'sdah', 'impi', 'prabowo', 'wajar', 'kabinet', 'prabowo', 'isi', 'wajah']"
 mosok sudah berjuang kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama si goban terus rela di bunuh gitu lalu masa akhir hidupya kayak apa mencret justru si goban bentar lagi ilang menteri ex joko di reshuffle,negatif,46,"['mosok', 'juang', 'kali', 'pilpres', 'gagal', 'jual', 'menhan', 'kabinet', 'joko', 'udah', 'tanin', 'gob', 'rela', 'bunuh', 'gitu', 'hidupya', 'kayak', 'mencret', 'gob', 'bentar', 'ilang', 'menteri', 'ex', 'joko', 'reshuffle']"
 dengan adanya desentralisasi semestinya kabinet dan perangkat lain pusat tidak terlalu besar sebab daerah sudah punya otonomi,netral,18,"['desentralisasi', 'mesti', 'kabinet', 'perangkat', 'pusat', 'daerah', 'otonomi']"
 lagian tubuh kabinet kok segendut itu sih apa ga hambur uang gaji aja jumlah menteri lebih banyak dari team karnaval ,negatif,22,"['tubuh', 'kabinet', 'gendut', 'hambur', 'uang', 'gaji', 'menteri', 'team', 'karnaval']"
