Tweet,Sentimen,Tweet Length
hashim buka suara soal kabinet gemuk prabowo yang penting output ,netral,11
 ya kan saya baru jadi menteri jadi saya selama tahun jadi dpr ya kan ya maklumlah baru belajar ujar yandri kepada awak media di istana jelang sidang kabinet jakarta pada rabu mo nulis komentar buat si yandri bingung gw nih hal sgt dasar ja g ngarti,negatif,48
 hatihati rakyat mengawasi dengan ketat kerja para anggota kabinet merah putih,netral,12
 alokasi anggaran utk kementrian jadi sorotan amp kritik yg pertama selang hari kabinet dilantik makan gratis anggarannya jumbo triliun kmdn kementrianbadan yg urus soal penegakan hukumampdemokrasi pemberantasan kkn dan yg lbh miris anggaran ham t aja kurang,negatif,42
 kabinet ramping tapi diisi para professional beneran kabinet pembangunan dari pada kabinet merah kuning hijau diisi para oportunis ungud guoooob tkng kentit zionis dkk ,negatif,26
 pasti dipecat kalau konsekuen agar tidak menodai kabinet ini,negatif,10
 kita tunggu kerjakerja nyata kabinet merah putih,netral,10
 kalo rapat kabinet wamennua tuh ga ikut ya,netral,11
inilah salah satu alasan kenapa sri mulyani di pakai lagi di kabinet merah putih presiden harus muter cari utangan untuk membayar utang warisan jokowi miris gak negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,negatif,42
 wkwkwkpusing bacanya yg beginian indonesia emas untuk kabinet,netral,9
mari bicara logis terkat kabinet merah putih efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping apbn kita defisit triliun mengapa ditambah beban lagi salam akal sehat,negatif,35
 mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama tahun kedepan,negatif,24
 gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah kabinet masih di isi orang nya mulyono thanks bude susi kami merindukan ibu untuk bisa berkhidmat lagi untuk nkri tercinta ini ,negatif,35
presiden prabowo subianto memimpin sidang kabinet paripurna pertama di kantor presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan ometv cat baim pecat ketuhanan yang maha esa ,netral,33
 semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,netral,14
kabinet hurahura pembekalannya pun dilakukan di magelang indikasi megalomania ,negatif,9
pak berhati lahitu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyajgn asyik urusin badut kabinet itu pak,negatif,21
 semoga kabinet jowo jokowi prabowo ini di ganti dengan kabinet pak presiden probowo,negatif,14
 kabinet halu,negatif,3
kabinet kacau balau mau bagaimana nasih nkri th kedepan etika berpolitik moralitas berpolitik dll bukan untuk warga nkri hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,negatif,34
 apakah beliau bisa jadi raja tega demi kepentingan pemerintah spt jkw atau malah ga tegaan yg akhirnya malah jadi beban kabinet,negatif,22
 jerome polin harusnya diajak gabung kabinet merah putih,netral,9
 bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,negatif,16
 pigai amp yandri are pains in as kabinet probowo gibran periode perdana sih menurut gw om treatment ps ke kedua org ini cocoknya sama seperti treatment yg dikasih jkw ke rizal ramli di periode jkw jk dikasih target kerja kalo ga perform tinggal kick disini ps akan diuji,netral,51
lebih baik ini maknanya masih multidimensi bli baik yg bagaiman baik untuk siapa baik apanya ampura respon saya untuk kabinet titipan ini masih nokomen wait n see seken megae beneh ape cm retorika di depan media gen ane luung,negatif,39
 baru belajar kabinet ko isi nya orang yg baru belajar ya gimna mau bantu urus negara mentri nya baru belajar berarti blm ada pengalaman apa dong begitu banyak pertanyaan di otak gua skrng,negatif,34
kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,negatif,14
 lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun sampe ada jabatan diluat kabinet kl dia pinter thn kaga mandek jd presiden bs jd prrsiden jg krn jokodok t cui abisnya wkwk ,negatif,56
 mantul pak menteri rja rapat kabinet paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,positif,17
 mestinya yg di push total bukan di pak atau pak saja justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin caranya gmn yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ,netral,48
 jangan cuma omon omon alias lips service ala mulyono awokwokwok buktikan badan penerimaan gagal zaken kabinet gagal naikan gaji guru belum terlaksana oktober,negatif,28
kabinet prabowo ni kok kebanyakan retorika kenapa ya,negatif,8
 isu kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta dan menyebut bbrp nama akan merapat ke presiden isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,negatif,33
 wah keren kabinet merah putih sudah siap kerja cepat dan berhasil sukses pak ,positif,17
 rencana akan gagal jika prb berani undang pdip masuk ke kabinet semua tergantung keberanian prb apa mau terus berada di bawah bayang nya ,netral,25
 tiap hari aja ada berita antik ttg kabinet baru,negatif,10
rapat kabinet awal luar biasa penegasan kpd bawahannyabeda pimpinan beda gaya sistemnya kalau dulu tidak ada visi misi menteri skrng efisieni dan pembangunan ekonomi kedalammantaapd ,positif,26
 jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,negatif,14
 termasuk jg batal menarik pdip ke kabinet intinya ikut maunya jokowi dulu begitu prabowo dilantik baru prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm sampai bulan kedepan termasuk menjegal karena jelas telah menghina harkat dan martabat prabowo,negatif,43
 rapat kabinet paripurna perdana dan langsung tancap gas sukses,positif,12
 gak ada pengen nerjunin propam pak pa kasihan di awal kabinet banyak ujian,negatif,18
melht siprabowo tersandera olh jokowi naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn si prabowo jd ri diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo siprabowo bkl jd boneka br utk kepentgn cina,negatif,47
 cukup lengkap pengantar pembuka rapat kabinet perdana oleh presidenhanya dlm video ini tidak ada sama sekali menyinggung tentang ikn dan bagaimana rencana kedepannya dan siapa menteri penanggung jawab percepatan penyelesaian ikn apakah langsung ditangani wapres ,negatif,38
 kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omonomon tuh wapres blm rapat kabinet pertama dah pencitraan,negatif,21
mau kedatangan tim kabinet gemoy vibes magelang dah terasa beda ,negatif,10
 buat kabinet bayangan nak mintak duit macam la tak ada gaji jadi mp selama ni diminta bajet alternatif jadi mcm si badrul la pulak ,negatif,33
politik kompromistik presiden memainkan gestur bijak dgn mengakomodir semua kepentingan hak prerogatif sbg hak konstitusional akan dipakainya hari usia kabinet yg layak lanjut yg tak layak out misi tegas pak presiden di tunggu ,netral,36
 apa yang bisa diharapkan dari kabinet macam ini,negatif,9
 kabinet dwikora ll di orba lebih banyak lagi personal,negatif,12
 satu kata pecat menteri aji mumpung ini wahai pak agar nyata kabinet anda hanya diisi oleh orang bersih dan berintegritas,negatif,22
kabinet merah putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak ,positif,29
 birokrasi kita terkenal ribetnya dan kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet,negatif,15
 tempe lagi kepercayaan dan kabinet tergemuk orba dwikora ll menterinya personal hayo gimana tu,negatif,20
pesan tegas pak prabowo subianto presiden ri di sidang kabinet perdana didampingi mas fufufafa ape loe ,negatif,17
rabu oktober sidang paripurna perdana kabinet merah putih ,netral,10
 ulasan politisi dan budayawan senior pak eros djarot ttg kabinet prabowo ,netral,12
 mungkin ditahan untuk disampaikan ke masy umum pak cukup dibahas di rapat kabinet,netral,14
 kabinet gemuk plus menteri nya kebanyakan bukan hasil meritokrasi tapi bagi kursi udah gemuk gak sehat amat pulak jangankan lari jalan aja susah lah jadi kayak boss nya yak ,negatif,29
eh demiapasi wamen kabinet skrg begini yg bener ajeeeee,negatif,9
 yang pasti kabinet dan dewan semakin gendut diluar efektivitas dan kemampuan anggaran negara,negatif,14
 para manusia najis ini maunya apa y woi kampret prabowo itu sudah x nyapres selalu gagal baru kali ini beliau berhasil dan itu karena dukungan jokowi kemarin kalau jokowi dukung ganjar selesai sdah impian prabowo wajar kalau kabinet prabowo masih diisi beberapa wajah lama,negatif,46
 mosok sudah berjuang kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama si goban terus rela di bunuh gitu lalu masa akhir hidupya kayak apa mencret justru si goban bentar lagi ilang menteri ex joko di reshuffle,negatif,46
 dengan adanya desentralisasi semestinya kabinet dan perangkat lain pusat tidak terlalu besar sebab daerah sudah punya otonomi,netral,18
 lagian tubuh kabinet kok segendut itu sih apa ga hambur uang gaji aja jumlah menteri lebih banyak dari team karnaval ,negatif,22
 para manusia najis ini maunya apa y woi kampret prabowo itu sudah x nyapres selalu gagal baru kali ini beliau berhasil dan itu karena dukungan jokowi kemarin kalau jokowi dukung ganjar selesai sdah impian prabowo wajar kalau kabinet prabowo masih diisi beberapa wajah lama,negatif,45
 sesekali pak wakilnya yg pimpin rapat kabinet berikan arahan ke menterinya,negatif,14
 ada tanda menuju perbaikan arah bangsa ampnegara indonesia di hari pertama rapat kabinet merah putih yg suka blusukanampkunjungan proyek yg tak bermanfaat kecuali unt pencitraanamppemborosan uang negara harap segera berhenti ikuti arahan pimpinanmu toh kamu tak faham apapunfufufafa,negatif,39
 ayoo buat petisi batalkan nuruddin jd menteri agama karna nuruddin pembela zionis israel amp sekutu nya dia akn jd duri dalam daging ini sangat gentingdesak presiden untuk melakukan resuffel kabinet segera ,negatif,35
 presiden menghormat pada menterinya lbp saat sidang kabinet pertama semakin kacau,negatif,12
kabinet saling mangsa wkwkwk baguslah,negatif,5
hah emang beneran dia jadi mentri perasaan ga ada di list kabinet merah putih deh,negatif,15
 dah di bilang ini kabinet balas budi ya gini jadinya ,negatif,12
maaf yg dapat kerjaan utk kali ini yg pandai jilat yg bau partai dan keluarga anggaran habis buat gaji mereka yg lain minggirnunggu makan gratis saja kalo ada sisa dr anak sekolah kabinet zaken taek,negatif,35
aksi awal kabinet indonesia gemoy gtbahlil men esdm raih s scr kontroversial gtpigai men ham minta anggaran naik dr miliar jd t gtyusril menko hukum katakan tragedi bukan pelanggaran ham berat gtyandri men desa buat surat dgn kop kementrian utk urusan pribadi ,negatif,46
khawatirku prabowo ntar kecapekan krn terlalu kenceng pidato menggebu gebu akhirnya lupa realisasinya lihat komposisi dan auranya kabinet ini kabinet rungkad,negatif,22
 ini bkn soal dukung mendukung terhdp program tsb tetapi presiden punya alasan yg kuat utk membatalkan program mkn siang gratis dgn pertimbangan anggaran blum lgi dgn gemuknya kabinet hutang luar negeri dll tentu publik paham bhw pendidikan gratis jauh lbh baik,netral,43
 bagaimana agar hasil rapat paripurna kabinet merah putih pertama mampu direalisasikan secara maksimal sehingga indonesia emas terwujud streaming ,netral,22
 kabinet gonggong goblok dungu bego ini prabowo iniga ngerti hrs nya diseret semua era rezim abal ini kepengadilan bg yg bersalah secara hukum bukannya dibiar biarkan jd tak terkendali seperti ini ga bisa lu jd pemimpin buktinya zaman mertua lu aja elu diusir pangkatlu copot,negatif,47
presiden prabowo diapresiasi sebagai negarawan sejati karena libatkan generasi muda di kabinet sebut komandan tkn indonesia insider ,positif,19
kapasitasnya apa jabatannya diatas menteri sekretaris kabinet diatas menteri diantara presiden lalu ada penasehat presiden diantara menteri banyak jabatan jeda antara presiden dengan menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas,negatif,40
 kapasitasnya apa jabatannya diatas menteri sekretaris kabinet diatas menteri diantara presiden lalu ada penasehat presiden diantara menteri banyak jabatan jeda antara presiden dengan menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas,negatif,41
momen prabowo minta izin ngopi di sidang kabinet paripurna perdana ,netral,12
sidang kabinet paripurna perdana telah secara resmi dibuka oleh presiden prabowo rabu oktober ,netral,15
 tegas ketawa aja deh menyusun kabinet itu hak preogatif presiden nyatanya kabinet mulyono jilid gemuk dan banyak wamen serta lembaga ataubkantot atau utusan atau apalah yg ujungujung utk balaa jasa pendukung jokowi yang begini mai tegas hahaha ,negatif,40
 kan kabinet zaken pak mereka merasa paling ahli,negatif,9
 ramerame disini menyambut presiden dan wapres baru beserta para menteri kabinet merah putih,negatif,19
 tepatnya kabinet gerombolan,negatif,4
 apa yg lu harapin dari kabinet yg diisi lebih banyak pebisnis ys pasti aturan nya bakal ngenakin mereka lah,negatif,21
kabinet gemuk tanda presiden ga bisa kerja,negatif,7
presiden prabowo saja tdk mempermasalah kan malah terkesan merasa terbantu dan terserah yg mau bilg apa yg penting presiden happy saja bahkan dlm sidang kabinet akrab saja dgn gibran,negatif,29
 harapan smg orang baik yg peduli kondisi indonesia yg sdh rusak demokrasikonstitusinya th terakhir ini jangan gabung di kabinet merah putih krn presidennya hasil pilpres yg berlangsung tdk normal orang baik bersama orang baik ,negatif,38
 belom seminggu mentri udah pelanggaran x kabinet cap opo toh paakpak,negatif,13
there must be some kind of research about why society focusing on cheating sexuality and sexual topics more than real problems kabinet gemuk yg baru berapa hari aja blundernya udah bisa dilist sehalaman ppn naik tambang pasir dll tapi kenapa topik kita masih selangkangan,negatif,44
 era digital kenapa kabinet jadi gemoy ,negatif,8
 gobloknya kok kompak kabinet terus kalau bikin umkm ternyata ga di support yang bisnisnya jalan lancar ya tementemen hedonis lo doang,negatif,23
 awalnya sudah salah dengan kabinet gendut pasar merespon dengan pelemahan rupiah semoga cepat lepas dari cengkraman mulyono dan bersih dari penjilat ingat rakyat mengawasi dengan ketat,negatif,28
 kalo gitu diganti orang sipil bisa menjabat danramil kenapa tidak bisa,negatif,12
 semangat terus buat calon menteri kabinet prabowogibran semoga sukses dan bisa memberikan yang terbaik untuk negara kita,positif,18
lah itu bahlil gelar doktor bermasalah gak dicopot pak natalius pigai blom kerja keras udah tambah anggaran t bapak sbg presiden yg angkat harusnya yg pecat jgn bosen resuffle sampe bener clean and clear orang nya yg disebut profesionalkabinet zakken itu,negatif,42
 itu sdh benar sesuai namanya kabinet gemoykabinet obesitas,negatif,9
 woyyy mulyono belum selesai dgn dirinya belum safe biar anak udah ri kaesbong ketum parte mantu cagub klean masih beritain terus doi akan cawe pegang remote control dari oslo buat anak cucunya naruh orang nya di kabinet bentar juga ikutan kampanye pilkada,negatif,45
 kalo ada jalur adu domba pak didu bu tifa pak refly pak gerung pak roysuryo pasti dah masuk kabinet ,negatif,21
 anda juru maki yg tidak dapat jatah kabinet dong,negatif,10
 mana ne pak presiden prabowo masa orang gini di kabinet indonesia kuat ,negatif,14
 manyalaahh tolong masukkan dalam kabinet kokom kocheng pupr untuk mengawasi infrastruktur soleh kocheng pajak jadikan bendahara nemenin ibu smi dan sebagai kocheng pariwisata ini aja kocheng aaiiuuaiauu ,negatif,29
cok buzzer penyng kabinet makin merajalela ,negatif,6
eh br hari kabinet baru pls stop lah gebrakannya,negatif,10
karena untuk menampung semua orang yang berjasadalam sejarah indonesia inilah kabinet paling tergemuk dengan orangbaik yang menjadi menteri atau wamen atau staf khusus kementerian apa jadinya ya apbn tahun nanti ya ,negatif,33
 bagus tanda menghargai penggantinya utk memberi uang keputusan ttg pengaturan pemindahan asn ke ikn sesuai perubahan nomenklatur dan jumlah kementerianlembaga kabinet meraha putih tapi pedoman dan tahapan proses pemindahan kan sdh tersusun lama yg jd pedoman,negatif,37
dapat info orang dalam bobby k mau bikin kabinet tandingan ,negatif,11
para menteri dan wakil menteri kabinet merah putih besutan presiden prabowo subianto akan menjalani pembekalan di akademi militer akmil magelang ja ,netral,22
 itu kabinet periode ke ,negatif,8
presiden prabowo subianto angkat bicara terkait banyaknya menteri dalam kabinet yang ia pimpin sebagai catatan jumlah menteri di kabinet merah putih ,netral,22
kabinet rongsokkan berisi orang ex jokowi yang bobrok penipu penjilat pengkhianat dan korup gantung mati anjing peking ,negatif,20
 bagaimana agar hasil rapat paripurna kabinet merah putih pertama mampu direalisasikan secara maksimal sehingga indonesia emas terwujud streaming ,netral,23
 semoga bu secepatnya masuk kabinet pak ,negatif,9
saya pikir episode luhut tak ada lagi di rezim prabowo ternyata lanjut jg kalau luhut yg ketua den sdh ikut rapat kabinet itu tanda bakal byk lg jabatan yg akan dia pegang spt rezim jkw kmrn gmn ges ,negatif,40
 kabinet buang buang duit awas aja kalo ga ada hasilnya rakyat berhak donk protes apa lagi pemilih mereka kalo punya otak sih ya harusnya lebih marah karena udah milih mereka tapi kok hasilnya tidak menguntungkan pemilih,negatif,37
 pelantikan kabinet,netral,4
 nahhhh kabinet yg bisa dipercaya ini,positif,7
sy sepakat dg pidato disidang perdana kabinet merah putih ini semoga kebobrokan bangsa ini segera pulih setelah th di acakacak amp yg paling penting ekonomi segera pulih agar keberlangsungan hidup rakyat teratasi amp sengkuni di tindak ,negatif,40
rapat kabinet presiden dan mentri yg diadakan di magelang tgl tdk menginap di hotel tapi tidur di barak tentara yg mendengar pasti bilang kasian ya suruh tidur di barak tapi begitu melihat dalamnya siapa yg nggak kepingin tidur di barak tentara seperti ini ,negatif,45
ini negara gak sampai apa yg di bilang bahwa negara ini akan bubar alsanya kenapa kita flasback ke belakang jaman mul korupsi merajai t bts dll warisan hutang sampai t berat sekali liat kabinet gemuk anggaran bnyak menterinya gak kompeten,negatif,47
ini susunan kabinet banyak banget gilaaaa mejanyaaa banyak banget peluang untuk korupsi menyedihkan sekali untuk rakyat,negatif,16
merengkuh masa depan bandung utama t pangandaran polisi kabinet merah putih knox vault luhut baru menyambung juang ,positif,23
kritik rocky gerung awal buruk kabinet prabowo gibran dapat surat rahasia dari siswa sd ,negatif,16
 yakin dgn kabinet gemoy gemoy,negatif,7
zaken kabinet baru hari kerja udah blunder aja,negatif,9
 klo gibran diberi tugas utk memimpin pelaksanaan program makan bergizi gratis gue yakin program akan berantakan kan selama ini dia ngak bisa apa gubran hadir sidang pertama kabinet merah putih nampak kagok duduk di kursi wapres tak nambah wibawa nya ,negatif,42
 saya kok membayangkan perasaan dalam hati pak prabowo ini nih kondisi mimpin sidang kabinet yg gw idam idamkan puluhan tahun yg lalu,negatif,23
prabowo gelar sidang kabinet perdana utamakan kepentingan bangsa dan negara ,netral,11
 bahas gmn harinya todayy klo mau yg agak berat yaa bahas kabinet prabowo,negatif,14
tiap baca berita ttg statement nya kabinet baru tuh bikin marah n geregetan bgt kaya bs ga si nalar dikit kalo mau ngomong,negatif,22
mengingat isi rapat kabinet pertama anda kemarin harusnya mentri yandri dipecat baru dilantik saja sudah menyalah gunakan jabatan bagaimana kedepannya ,negatif,23
kabinet merah putih akan bekerja maksimal mengejar target kinerja hari pertama semua menteri dipaksa untuk bekerja keras menunjukkan kinerja terbaiknya persaingannya adalah dengan diri mereka masing masing untuk pembuktian kompetensi yg sesuai tugas yang diemban,negatif,36
 ada kader nu di kabinet merah putih yg jadi mentri wamen n ketua lembaga,positif,20
perbandingannya gak sesuai sih bung karno membentuk kabinet dwikora setelah ada peristiwa g s pki kejadian yang luar biasa dalam sejarah bangsa membentuk kabinet merah putih tidak ada peristiwa yang setara dgn kejadian itu indonesia akan baik baik saja,positif,39
 kabinet baru hari dilantik kelakuan wapres amp menteri fufufafa kunjungan mrt yusril tragedi bukan pelanggaran ham berat pigai dari m minta angg t yandri salah gunakan kop surat kementrian buat urusan pribadi kabinet balas jasa pilihan rakyat ,negatif,44
hari ketiga ada aja gebrakan kabinet gemoy,negatif,7
banyak kali jejak digital para menteri prabowo tolong pak evaluasi kabinet nya,netral,13
kabinet merah putih ,netral,4
 kabinet pak banyak masalah hukum kasus korupsi ,negatif,10
satu kalimat buat gebrakan menteri kabinet merah putih belum ada satu bulan ,negatif,12
 tugas sekretaris kabinet adalah menjewer menteri menteri yang nyeleneh dan sekkab itu dijabat perwira berpangkat mayor yang diketentaraan menjabat wadanyon atau danyon apa kabinet gemoy itu adalah batalion,negatif,30
kenapa tidak diartikan sebaliknya bahwa sejak awal prabowo sudah menempatkan orang nya di kabinet jokowi yang kembali terpilih adalah orangorang prabowo yang ditaroh di kabinet jokowi toh skrg juga sudah terlihat ada percobaan beberapa aturan yang disesuaikan ,negatif,38
 kasihan kapolrinya kalo prabowo tau pasti dimaki tadi saja disidang kabinet sdg diingatkan semua jgn macam ,negatif,19
 yang bilang kan mereka karena repli harun tidak jadi mentri pak prabowo kalau repli harun masuk kabinet pak prabowo pasti kabinet pak prabowo paling bagus,negatif,26
at least nduwe daya paksa tersamar thus sidangsidang kabinet bagusnya di hutan wae,negatif,13
 ya sejajarlah sekarang lha di kabinet yg sama juga ada mayor ahy kok hehehe,positif,15
membahas efisiensi anggaran di rapat kabinet yg jumlah menterinya tidak efisien ,negatif,13
 puja pujimu nggk sesuai pd kenyataan bung pidatonya memang ok namun begitu melihat susunan kabinet nya miris sangat sepertinya bukan pro rakyat tapi pro balas budi dipilpres kemarin ,negatif,29
 wah tambah ngelantur aja kabinet konoha inimaklumlah,negatif,8
 kompas rajin banget ngikutin pak wapres apa krn reporternya masuk kabinet yhahha dan framing pak wapres pun di mulai dr hr pertama kerjacolek pak wapres jangan cuma temuin anak sekolah tu mahasiswa nungguin mau diajak ngobrol smbl ngopiwkwkwkw,netral,39
 wait and see dgn kabinet gemuknya bagaimana mau efisien paradox sekali,negatif,12
buat yang nanya kok bisa jadi di teras luar kosan ini tu ada dapur bersama kabinet sama lemari nya banyak terbuat dari kayu curutnya tu asalnya dari teras luar ini lah masalahnya kamar gw tu kamar paling pertama dari teras kamar gw lah yang digentayangin,netral,44
wamenbud afrika menggunakan bahasa asli indonesia saja seolah dia malu sepertinya dia menganggap dirinya lbh bernilai jk brbahasa inggris wakil menteri budaya yang tidak paham akan tupoksinya kabinet prihatin,negatif,29
 wow kabinet enhypen merdeka ini padat ya ment smangat ment,negatif,11
ahy usai rapat kabinet bareng presiden prabowo gas jangan kasih kendor ,positif,12
 skrg ada wakil pks di kabinet tp pd ga ngeh krn bukan petinggi pks yg ambil jatah menteri tp diberikan kpd ahli guru besar itb ,negatif,28
menyoroti hasil rapat paripurna kabinet merah putih pertama yang membahas generasi emas pada sore ini talk pengamat politik sumatera utara shohibul anshor siregar streaming ,netral,29
 jangan coba maaf korupsi deh pak bahaya loh presiden baru kita sekarang pak prabowo sorry kalo udh suudzon tapi bener kata orang baru juga membentuk kabinet terbaru kok langsung minta langsung segitu nilainya,negatif,34
 setuju sih liat susunan kabinet banyak profesional d kasi tempat sakral dr pada s mul bagi jabatan semua sektor kecuali ekonomi wkwkwk,negatif,24
 ini kabinet bukan kabinet pks ,negatif,9
diganti tapi pensiunan dapet wkwkw sama aja bagibagi jabatan pak visioner skali memang untuk yang gak paham bakal mikir wah keren sekali kabinet ini bekerja kerasss padahal lagi di kibulin ,negatif,30
penjelasan presiden prabowo punya kabinet gemoy ,netral,8
 dok bahas yang lain juga tuh menteri nya yg udah ngablu baru awal menjabat bahas fufafa terus jatuhnya personal kritis pedes sekalian juga dong ke kabinet gemoy biar berbobot engagement gede cuma buat kritis ke fufufafa doang mubazir dok belum lihat kritik dok ke prabs,negatif,47
 bng kabinet kebijakannya aja blm ada bang yang lo rasain skrg itu msih kebijakan kabinet sebelumny,negatif,19
 baru hari dilantik kelakuan wapres dan menteri gibran menerima pm korsel dan mrt yusril tragedi bukan pelanggaran ham berat pigai minta anggaran t yandri salah gunakan kop surat kementrian buat urusan pribadi inilah kabinet balas jasa pilihan rakyat ,negatif,48
 segelintir berlian diantara sampah kabinet gembrot,negatif,7
 kelamaan hari ajh trus copot dluuu baru atur ulang kabinet dan wamen beserta staff khususnya,negatif,19
