Tweet,Sentimen,Tweet Length,Tokenized
 pastikan dulukarena itu statement keluar dari mulut si hasjim bukan langsung dari prabowohasjim itu cuma pengurus partai gerindra bukan anggota kabinet jadi tidak ada wewenang buat menyuarakan,negatif,29,"['pastikan', 'dulukarena', 'statement', 'mulut', 'hasjim', 'langsung', 'prabowohasjim', 'pengurus', 'partai', 'gerindra', 'anggota', 'kabinet', 'wewenang', 'menyuarakan']"
revolusi kabinet kementerian baru kekacauan mengancam pemerintahan prabowo ,negatif,10,"['revolusi', 'kabinet', 'kementerian', 'kekacauan', 'mengancam', 'pemerintahan', 'prabowo']"
kabinet baru udh release dan org di sekitar gw lebih milih ngomongin kucing istana makin yakin skenario dlm kepala gw kemarin bakal kejadian,negatif,23,"['kabinet', 'release', 'org', 'milih', 'ngomongin', 'kucing', 'istana', 'skenario', 'kepala', 'kemarin', 'kejadian']"
dr kacamata sy kabinet yg gemuk birokrasinya jg lbh muter blm urusan sm instansi non kl lainnya smg bu menkeu gk tmbh puyeng ini mikir negara dan duitnya seger waras njih bu,negatif,32,"['kacamata', 'sy', 'kabinet', 'gemuk', 'birokrasinya', 'lbh', 'muter', 'urusan', 'sm', 'instansi', 'non', 'kl', 'smg', 'bu', 'menkeu', 'tmbh', 'puyeng', 'mikir', 'negara', 'duitnya', 'seger', 'waras', 'njih', 'bu']"
dalam dialog di hadapan pengurus kadin ketua umum kadin indonesia yakin terget pertumbuhan ekonomi persen bisa dicapai karena kabinet diisi orangorang yang kompeten dan melanjutkan capaian yang ada,negatif,30,"['dialog', 'hadapan', 'pengurus', 'kadin', 'ketua', 'kadin', 'indonesia', 'terget', 'pertumbuhan', 'ekonomi', 'persen', 'dicapai', 'kabinet', 'diisi', 'orangorang', 'kompeten', 'melanjutkan', 'capaian']"
 mantep dah mikir target korupsi lbh awal anda emang top curi start utk pesta korup kabinet baru ,negatif,19,"['mantep', 'mikir', 'target', 'korupsi', 'lbh', 'emang', 'top', 'curi', 'start', 'pesta', 'korup', 'kabinet']"
menyalah kabinet merah putih ,positif,4,"['menyalah', 'kabinet', 'merah', 'putih']"
memang sih ada prof dari univ mentereng di kabinet namun coba deh ditelusuri background pendidikan beberapa anggota kabinet unik memang,negatif,20,"['prof', 'univ', 'mentereng', 'kabinet', 'coba', 'ditelusuri', 'background', 'pendidikan', 'anggota', 'kabinet', 'unik']"
 ijazah palsu uang palsu sistem palsu kabinet palsu,negatif,9,"['ijazah', 'palsu', 'uang', 'palsu', 'sistem', 'palsu', 'kabinet', 'palsu']"
 semoga bapak presiden punya sikap yg sama terhadap orang di lingkaran kabinet anda yg tidak kredibel dan kompeten segera copot tidak pandang bulu,netral,24,"['semoga', 'presiden', 'sikap', 'orang', 'lingkaran', 'kabinet', 'kredibel', 'kompeten', 'copot', 'pandang', 'bulu']"
 woiiii tahun abis ganti kabinet,negatif,7,"['woiiii', 'abis', 'ganti', 'kabinet']"
 nasi dah jd bubur mukidi sudah berakar melalui fufufafa dan yg masih ada dlm second kabinet brikut para naga yg menguasai bumi indonesia kemarin kmn aja skarang baru teriak,negatif,30,"['nasi', 'bubur', 'mukidi', 'berakar', 'second', 'kabinet', 'brikut', 'naga', 'menguasai', 'bumi', 'indonesia', 'kemarin', 'kmn', 'skarang', 'teriak']"
 pks memangemdukung anies saat pilpres kemarin gelora bakal gak terima kalau ada kader pks masuk kabinet,negatif,17,"['pks', 'memangemdukung', 'anies', 'pilpres', 'kemarin', 'gelora', 'gak', 'terima', 'kader', 'pks', 'masuk', 'kabinet']"
 mbadoooooq sampek mblukek mblumek saja diumbar bikin obesitas dan otak bebal dasar kabinet fufufafa ideologi duit huexxxx,negatif,18,"['mbadoooooq', 'sampek', 'mblukek', 'mblumek', 'diumbar', 'bikin', 'obesitas', 'otak', 'bebal', 'dasar', 'kabinet', 'ideologi', 'duit', 'huexxxx']"
pemimpin boleh berganti tapi harapan rakyat tetap sama keadilan kejujuran dan keberpihakan pada yang lemah semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,netral,33,"['pemimpin', 'berganti', 'harapan', 'rakyat', 'keadilan', 'kejujuran', 'keberpihakan', 'lemah', 'semoga', 'kabinet', 'wajah', 'hadir', 'kebijakan', 'berpihak', 'bangsa']"
 pak itu ide sangat bagus tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan ham yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet ,negatif,36,"['ide', 'bagus', 'bagus', 'kerjakan', 'tunggakan', 'ham', 'belym', 'terselesaikan', 'tg', 'rencana', 'dibicarakan', 'presiden', 'kabinet']"
 pengin dengar jawaban saudaraku yang non kita biarkan saja karena kalah efek kabinet super gemuk tak mungkin dikabulkan masa bodoh jgn lupa komennya,negatif,25,"['pengin', 'dengar', 'saudaraku', 'non', 'biarkan', 'kalah', 'efek', 'kabinet', 'super', 'gemuk', 'dikabulkan', 'bodoh', 'jgn', 'lupa', 'komennya']"
hashim buka suara soal kabinet gemuk prabowo yang penting output ,netral,11,"['hashim', 'buka', 'suara', 'kabinet', 'gemuk', 'prabowo', 'output']"
 ya kan saya baru jadi menteri jadi saya selama tahun jadi dpr ya kan ya maklumlah baru belajar ujar yandri kepada awak media di istana jelang sidang kabinet jakarta pada rabu mo nulis komentar buat si yandri bingung gw nih hal sgt dasar ja g ngarti,negatif,48,"['menteri', 'dpr', 'maklumlah', 'belajar', 'yandri', 'awak', 'media', 'istana', 'jelang', 'sidang', 'kabinet', 'jakarta', 'rabu', 'mo', 'nulis', 'komentar', 'yandri', 'bingung', 'sgt', 'dasar', 'ja', 'g', 'ngarti']"
 hatihati rakyat mengawasi dengan ketat kerja para anggota kabinet merah putih,netral,12,"['hatihati', 'rakyat', 'mengawasi', 'ketat', 'kerja', 'anggota', 'kabinet', 'merah', 'putih']"
 alokasi anggaran utk kementrian jadi sorotan amp kritik yg pertama selang hari kabinet dilantik makan gratis anggarannya jumbo triliun kmdn kementrianbadan yg urus soal penegakan hukumampdemokrasi pemberantasan kkn dan yg lbh miris anggaran ham t aja kurang,negatif,42,"['alokasi', 'anggaran', 'kementrian', 'sorotan', 'amp', 'kritik', 'selang', 'kabinet', 'dilantik', 'makan', 'gratis', 'anggarannya', 'jumbo', 'triliun', 'kmdn', 'kementrianbadan', 'urus', 'penegakan', 'hukumampdemokrasi', 'pemberantasan', 'kkn', 'lbh', 'miris', 'anggaran', 'ham', 't']"
 kabinet ramping tapi diisi para professional beneran kabinet pembangunan dari pada kabinet merah kuning hijau diisi para oportunis ungud guoooob tkng kentit zionis dkk ,negatif,26,"['kabinet', 'ramping', 'diisi', 'professional', 'beneran', 'kabinet', 'pembangunan', 'kabinet', 'merah', 'kuning', 'hijau', 'diisi', 'oportunis', 'ungud', 'guoooob', 'tkng', 'kentit', 'zionis', 'dkk']"
 pasti dipecat kalau konsekuen agar tidak menodai kabinet ini,negatif,10,"['dipecat', 'konsekuen', 'menodai', 'kabinet']"
 kita tunggu kerjakerja nyata kabinet merah putih,netral,10,"['tunggu', 'kerjakerja', 'nyata', 'kabinet', 'merah', 'putih']"
 kalo rapat kabinet wamennua tuh ga ikut ya,netral,11,"['kalo', 'rapat', 'kabinet', 'wamennua']"
inilah salah satu alasan kenapa sri mulyani di pakai lagi di kabinet merah putih presiden harus muter cari utangan untuk membayar utang warisan jokowi miris gak negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,negatif,42,"['salah', 'alasan', 'sri', 'mulyani', 'pakai', 'kabinet', 'merah', 'putih', 'presiden', 'muter', 'cari', 'utangan', 'membayar', 'utang', 'warisan', 'jokowi', 'miris', 'gak', 'negeri', 'kaya', 'raya', 'gemah', 'ripah', 'loh', 'jinawi', 'musti', 'gali', 'lobang', 'tutup', 'lobang']"
 wkwkwkpusing bacanya yg beginian indonesia emas untuk kabinet,netral,9,"['wkwkwkpusing', 'bacanya', 'indonesia', 'emas', 'kabinet']"
mari bicara logis terkat kabinet merah putih efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping apbn kita defisit triliun mengapa ditambah beban lagi salam akal sehat,negatif,35,"['mari', 'bicara', 'logis', 'terkat', 'kabinet', 'merah', 'putih', 'efisiensi', 'menutup', 'celah', 'koruptif', 'hemat', 'anggaran', 'dasar', 'kabinet', 'ramping', 'apbn', 'defisit', 'triliun', 'ditambah', 'beban', 'salam', 'akal', 'sehat']"
 mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama tahun kedepan,negatif,24,"['mikir', 'dipake', 'pejabat', 'kabinet', 'gemuk', 'mules', 'lupa', 'pajak', 'dipakai', 'moles', 'persona', 'kedepan']"
 gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah kabinet masih di isi orang nya mulyono thanks bude susi kami merindukan ibu untuk bisa berkhidmat lagi untuk nkri tercinta ini ,negatif,35,"['gak', 'kalo', 'kabinetnya', 'memenuhi', 'harapan', 'rakyat', 'lihatlah', 'kabinet', 'isi', 'orang', 'nya', 'mulyono', 'thanks', 'bude', 'susi', 'merindukan', 'berkhidmat', 'nkri', 'tercinta']"
presiden prabowo subianto memimpin sidang kabinet paripurna pertama di kantor presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan ometv cat baim pecat ketuhanan yang maha esa ,netral,33,"['presiden', 'prabowo', 'subianto', 'memimpin', 'sidang', 'kabinet', 'paripurna', 'kantor', 'presiden', 'jajaran', 'kementerian', 'lembaga', 'memprioritaskan', 'program', 'swasembada', 'pangan', 'ometv', 'cat', 'baim', 'pecat', 'ketuhanan', 'maha', 'esa']"
 semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,netral,14,"['semoga', 'kabinet', 'kinerja', 'semaksimal', 'rakyat']"
kabinet hurahura pembekalannya pun dilakukan di magelang indikasi megalomania ,negatif,9,"['kabinet', 'hurahura', 'pembekalannya', 'magelang', 'indikasi', 'megalomania']"
pak berhati lahitu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyajgn asyik urusin badut kabinet itu pak,negatif,21,"['berhati', 'lahitu', 'bocil', 'terindikasi', 'mencitrakan', 'pamor', 'tenggelam', 'dibuatnyajgn', 'asyik', 'urusin', 'badut', 'kabinet']"
 semoga kabinet jowo jokowi prabowo ini di ganti dengan kabinet pak presiden probowo,negatif,14,"['semoga', 'kabinet', 'jowo', 'jokowi', 'prabowo', 'ganti', 'kabinet', 'presiden', 'probowo']"
 kabinet halu,negatif,3,"['kabinet', 'halu']"
kabinet kacau balau mau bagaimana nasih nkri th kedepan etika berpolitik moralitas berpolitik dll bukan untuk warga nkri hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,negatif,34,"['kabinet', 'kacau', 'balau', 'nasih', 'nkri', 'th', 'kedepan', 'etika', 'berpolitik', 'moralitas', 'berpolitik', 'warga', 'nkri', 'mengebiri', 'kitakita', 'pembodohan', 'warga', 'berpendidikan', 'membius', 'warga', 'terjamah', 'ilmu']"
 apakah beliau bisa jadi raja tega demi kepentingan pemerintah spt jkw atau malah ga tegaan yg akhirnya malah jadi beban kabinet,negatif,22,"['beliau', 'raja', 'tega', 'kepentingan', 'pemerintah', 'tegaan', 'beban', 'kabinet']"
 jerome polin harusnya diajak gabung kabinet merah putih,netral,9,"['jerome', 'polin', 'diajak', 'gabung', 'kabinet', 'merah', 'putih']"
 bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,negatif,16,"['kabinet', 'nak', 'tolak', 'duit', 'masuk', 'kabinet', 'budget']"
 pigai amp yandri are pains in as kabinet probowo gibran periode perdana sih menurut gw om treatment ps ke kedua org ini cocoknya sama seperti treatment yg dikasih jkw ke rizal ramli di periode jkw jk dikasih target kerja kalo ga perform tinggal kick disini ps akan diuji,netral,51,"['pigai', 'amp', 'yandri', 'are', 'pains', 'in', 'as', 'kabinet', 'probowo', 'gibran', 'periode', 'perdana', 'om', 'treatment', 'ps', 'org', 'cocoknya', 'treatment', 'dikasih', 'rizal', 'ramli', 'periode', 'jk', 'dikasih', 'target', 'kerja', 'kalo', 'perform', 'tinggal', 'kick', 'ps', 'diuji']"
lebih baik ini maknanya masih multidimensi bli baik yg bagaiman baik untuk siapa baik apanya ampura respon saya untuk kabinet titipan ini masih nokomen wait n see seken megae beneh ape cm retorika di depan media gen ane luung,negatif,39,"['maknanya', 'multidimensi', 'bli', 'bagaiman', 'apanya', 'ampura', 'respon', 'kabinet', 'titipan', 'nokomen', 'wait', 'n', 'see', 'seken', 'megae', 'beneh', 'ape', 'cm', 'retorika', 'media', 'gen', 'ane', 'luung']"
 baru belajar kabinet ko isi nya orang yg baru belajar ya gimna mau bantu urus negara mentri nya baru belajar berarti blm ada pengalaman apa dong begitu banyak pertanyaan di otak gua skrng,negatif,34,"['belajar', 'kabinet', 'ko', 'isi', 'nya', 'orang', 'belajar', 'gimna', 'bantu', 'urus', 'negara', 'mentri', 'nya', 'belajar', 'pengalaman', 'otak', 'skrng']"
kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,negatif,14,"['kepikiran', 'nambahnya', 'kabinet', 'mentri', 'kantor', 'taruh', 'dimana']"
 lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun sampe ada jabatan diluat kabinet kl dia pinter thn kaga mandek jd presiden bs jd prrsiden jg krn jokodok t cui abisnya wkwk ,negatif,56,"['junjungan', 'mengakui', 'org', 'pinter', 'butuh', 'org', 'pinter', 'disekitarnya', 'thats', 'why', 'mentrinya', 'bejibun', 'sampe', 'jabatan', 'diluat', 'kabinet', 'kl', 'pinter', 'thn', 'mandek', 'presiden', 'prrsiden', 'jokodok', 't', 'cui', 'abisnya', 'wkwk']"
 mantul pak menteri rja rapat kabinet paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,positif,17,"['mantul', 'menteri', 'rja', 'rapat', 'kabinet', 'paripurna', 'perdana', 'kebaikan', 'kecerdasan', 'bangsa']"
 mestinya yg di push total bukan di pak atau pak saja justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin caranya gmn yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ,netral,48,"['mestinya', 'push', 'total', 'dng', 'duduknya', 'orang', 'kabinet', 'jadikan', 'peluang', 'membuka', 'borok', 'kerjaankerjaan', 'kemarin', 'gmn', 'yaa', 'push', 'total', 'perangkat', 'hukum', 'biar', 'sehat', 'kerja', 'nyata']"
 jangan cuma omon omon alias lips service ala mulyono awokwokwok buktikan badan penerimaan gagal zaken kabinet gagal naikan gaji guru belum terlaksana oktober,negatif,28,"['omon', 'omon', 'alias', 'lips', 'service', 'mulyono', 'awokwokwok', 'buktikan', 'badan', 'penerimaan', 'gagal', 'zaken', 'kabinet', 'gagal', 'naikan', 'gaji', 'guru', 'terlaksana', 'oktober']"
kabinet prabowo ni kok kebanyakan retorika kenapa ya,negatif,8,"['kabinet', 'prabowo', 'kebanyakan', 'retorika']"
 isu kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta dan menyebut bbrp nama akan merapat ke presiden isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,negatif,33,"['isu', 'kemaren', 'gagal', 'bikin', 'gibran', 'gagal', 'dilantik', 'bikin', 'isu', 'kudeta', 'menyebut', 'bbrp', 'nama', 'merapat', 'presiden', 'isu', 'dpt', 'drmn', 'tifa', 'kau', 'paranormal', 'orang', 'kabinet', 'dpt', 'bisikan']"
 wah keren kabinet merah putih sudah siap kerja cepat dan berhasil sukses pak ,positif,17,"['keren', 'kabinet', 'merah', 'putih', 'kerja', 'cepat', 'berhasil', 'sukses']"
 rencana akan gagal jika prb berani undang pdip masuk ke kabinet semua tergantung keberanian prb apa mau terus berada di bawah bayang nya ,netral,25,"['rencana', 'gagal', 'prb', 'berani', 'undang', 'pdip', 'masuk', 'kabinet', 'tergantung', 'keberanian', 'prb', 'bayang', 'nya']"
 tiap hari aja ada berita antik ttg kabinet baru,negatif,10,"['berita', 'antik', 'ttg', 'kabinet']"
rapat kabinet awal luar biasa penegasan kpd bawahannyabeda pimpinan beda gaya sistemnya kalau dulu tidak ada visi misi menteri skrng efisieni dan pembangunan ekonomi kedalammantaapd ,positif,26,"['rapat', 'kabinet', 'penegasan', 'kpd', 'bawahannyabeda', 'pimpinan', 'beda', 'gaya', 'sistemnya', 'visi', 'misi', 'menteri', 'skrng', 'efisieni', 'pembangunan', 'ekonomi', 'kedalammantaapd']"
 jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,negatif,14,"['kabinet', 'rampingkan', 'efisien', 'kalo', 'gemukkan', 'gimana', 'efisien']"
 termasuk jg batal menarik pdip ke kabinet intinya ikut maunya jokowi dulu begitu prabowo dilantik baru prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm sampai bulan kedepan termasuk menjegal karena jelas telah menghina harkat dan martabat prabowo,negatif,43,"['batal', 'menarik', 'pdip', 'kabinet', 'intinya', 'maunya', 'jokowi', 'prabowo', 'dilantik', 'prabowo', 'apapun', 'melalukan', 'reshuffle', 'kedepan', 'menjegal', 'menghina', 'harkat', 'martabat', 'prabowo']"
 rapat kabinet paripurna perdana dan langsung tancap gas sukses,positif,12,"['rapat', 'kabinet', 'paripurna', 'perdana', 'langsung', 'tancap', 'gas', 'sukses']"
 gak ada pengen nerjunin propam pak pa kasihan di awal kabinet banyak ujian,negatif,18,"['gak', 'pengen', 'nerjunin', 'propam', 'kasihan', 'kabinet', 'ujian']"
melht siprabowo tersandera olh jokowi naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn si prabowo jd ri diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo siprabowo bkl jd boneka br utk kepentgn cina,negatif,47,"['melht', 'siprabowo', 'tersandera', 'olh', 'jokowi', 'naga', 'menyusun', 'kabinet', 'dipstkn', 'rejim', 'siprabowo', 'lbh', 'zlm', 'lg', 'rejim', 'jokowi', 'prabowo', 'diduga', 'kemngn', 'palsu', 'hsl', 'rkys', 'snjt', 'sijokowi', 'menyndra', 'siprabowo', 'siprabowo', 'bkl', 'boneka', 'br', 'kepentgn', 'cina']"
 cukup lengkap pengantar pembuka rapat kabinet perdana oleh presidenhanya dlm video ini tidak ada sama sekali menyinggung tentang ikn dan bagaimana rencana kedepannya dan siapa menteri penanggung jawab percepatan penyelesaian ikn apakah langsung ditangani wapres ,negatif,38,"['lengkap', 'pengantar', 'pembuka', 'rapat', 'kabinet', 'perdana', 'presidenhanya', 'video', 'menyinggung', 'ikn', 'rencana', 'kedepannya', 'menteri', 'penanggung', 'percepatan', 'penyelesaian', 'ikn', 'langsung', 'ditangani', 'wapres']"
 kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omonomon tuh wapres blm rapat kabinet pertama dah pencitraan,negatif,21,"['kalo', 'cuman', 'ucapan', 'tindakan', 'namanya', 'omonomon', 'wapres', 'rapat', 'kabinet', 'pencitraan']"
mau kedatangan tim kabinet gemoy vibes magelang dah terasa beda ,negatif,10,"['kedatangan', 'tim', 'kabinet', 'gemoy', 'vibes', 'magelang', 'beda']"
 buat kabinet bayangan nak mintak duit macam la tak ada gaji jadi mp selama ni diminta bajet alternatif jadi mcm si badrul la pulak ,negatif,33,"['kabinet', 'bayangan', 'nak', 'mintak', 'duit', 'la', 'gaji', 'mp', 'bajet', 'alternatif', 'mcm', 'badrul', 'la', 'pulak']"
politik kompromistik presiden memainkan gestur bijak dgn mengakomodir semua kepentingan hak prerogatif sbg hak konstitusional akan dipakainya hari usia kabinet yg layak lanjut yg tak layak out misi tegas pak presiden di tunggu ,netral,36,"['politik', 'kompromistik', 'presiden', 'memainkan', 'gestur', 'bijak', 'mengakomodir', 'kepentingan', 'hak', 'prerogatif', 'hak', 'konstitusional', 'dipakainya', 'usia', 'kabinet', 'layak', 'layak', 'out', 'misi', 'presiden', 'tunggu']"
 apa yang bisa diharapkan dari kabinet macam ini,negatif,9,"['diharapkan', 'kabinet']"
 kabinet dwikora ll di orba lebih banyak lagi personal,negatif,12,"['kabinet', 'dwikora', 'll', 'orba', 'personal']"
 satu kata pecat menteri aji mumpung ini wahai pak agar nyata kabinet anda hanya diisi oleh orang bersih dan berintegritas,negatif,22,"['pecat', 'menteri', 'aji', 'mumpung', 'nyata', 'kabinet', 'diisi', 'orang', 'bersih', 'berintegritas']"
kabinet merah putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak ,positif,29,"['kabinet', 'merah', 'putih', 'namanya', 'kombinasi', 'jiwa', 'patriotisme', 'jiwa', 'kebegawanan', 'darah', 'orang', 'begawan', 'ekonom', 'dimiliki', 'bangsa', 'kakek']"
 birokrasi kita terkenal ribetnya dan kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet,negatif,15,"['birokrasi', 'terkenal', 'ribetnya', 'kalo', 'kabinet', 'rungkad', 'ribet']"
 tempe lagi kepercayaan dan kabinet tergemuk orba dwikora ll menterinya personal hayo gimana tu,negatif,20,"['tempe', 'kepercayaan', 'kabinet', 'tergemuk', 'orba', 'dwikora', 'll', 'menterinya', 'personal', 'hayo', 'gimana']"
pesan tegas pak prabowo subianto presiden ri di sidang kabinet perdana didampingi mas fufufafa ape loe ,negatif,17,"['pesan', 'prabowo', 'subianto', 'presiden', 'sidang', 'kabinet', 'perdana', 'didampingi', 'mas', 'ape', 'loe']"
rabu oktober sidang paripurna perdana kabinet merah putih ,netral,10,"['rabu', 'oktober', 'sidang', 'paripurna', 'perdana', 'kabinet', 'merah', 'putih']"
 ulasan politisi dan budayawan senior pak eros djarot ttg kabinet prabowo ,netral,12,"['ulasan', 'politisi', 'budayawan', 'senior', 'eros', 'djarot', 'ttg', 'kabinet', 'prabowo']"
 mungkin ditahan untuk disampaikan ke masy umum pak cukup dibahas di rapat kabinet,netral,14,"['ditahan', 'masy', 'dibahas', 'rapat', 'kabinet']"
 kabinet gemuk plus menteri nya kebanyakan bukan hasil meritokrasi tapi bagi kursi udah gemuk gak sehat amat pulak jangankan lari jalan aja susah lah jadi kayak boss nya yak ,negatif,29,"['kabinet', 'gemuk', 'plus', 'menteri', 'nya', 'kebanyakan', 'hasil', 'meritokrasi', 'kursi', 'udah', 'gemuk', 'gak', 'sehat', 'pulak', 'lari', 'jalan', 'susah', 'kayak', 'boss', 'nya', 'yak']"
eh demiapasi wamen kabinet skrg begini yg bener ajeeeee,negatif,9,"['eh', 'demiapasi', 'wamen', 'kabinet', 'bener', 'ajeeeee']"
 yang pasti kabinet dan dewan semakin gendut diluar efektivitas dan kemampuan anggaran negara,negatif,14,"['kabinet', 'dewan', 'gendut', 'diluar', 'efektivitas', 'kemampuan', 'anggaran', 'negara']"
 para manusia najis ini maunya apa y woi kampret prabowo itu sudah x nyapres selalu gagal baru kali ini beliau berhasil dan itu karena dukungan jokowi kemarin kalau jokowi dukung ganjar selesai sdah impian prabowo wajar kalau kabinet prabowo masih diisi beberapa wajah lama,negatif,46,"['manusia', 'najis', 'maunya', 'y', 'woi', 'kampret', 'prabowo', 'x', 'nyapres', 'gagal', 'kali', 'beliau', 'berhasil', 'dukungan', 'jokowi', 'kemarin', 'jokowi', 'dukung', 'ganjar', 'selesai', 'sdah', 'impian', 'prabowo', 'wajar', 'kabinet', 'prabowo', 'diisi', 'wajah']"
 mosok sudah berjuang kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama si goban terus rela di bunuh gitu lalu masa akhir hidupya kayak apa mencret justru si goban bentar lagi ilang menteri ex joko di reshuffle,negatif,46,"['mosok', 'berjuang', 'kali', 'pilpres', 'gagal', 'jual', 'menhan', 'kabinet', 'joko', 'udah', 'temanin', 'goban', 'rela', 'bunuh', 'gitu', 'hidupya', 'kayak', 'mencret', 'goban', 'bentar', 'ilang', 'menteri', 'ex', 'joko', 'reshuffle']"
