Tweet,Sentimen,Tweet Length,Tokens,Label_Encoded
kabinet kacau balau mau bagaimana nasih nkri th kedepan etika berpolitik moralitas berpolitik dll bukan untuk warga nkri hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,-1,34,"['kabinet', 'kacau', 'balau', 'nasih', 'nkri', 'th', 'depan', 'etika', 'politik', 'moralitas', 'politik', 'warga', 'nkri', 'kebiri', 'kitakita', 'bodoh', 'warga', 'didik', 'bius', 'warga', 'jamah', 'ilmu']",0
 apakah beliau bisa jadi raja tega demi kepentingan pemerintah spt jkw atau malah ga tegaan yg akhirnya malah jadi beban kabinet,-1,22,"['beliau', 'raja', 'tega', 'penting', 'perintah', 'tega', 'beban', 'kabinet']",0
 jerome polin harusnya diajak gabung kabinet merah putih,0,9,"['jerome', 'polin', 'ajak', 'gabung', 'kabinet', 'merah', 'putih']",1
 bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,-1,16,"['kabinet', 'nak', 'tolak', 'duit', 'masuk', 'kabinet', 'budget']",0
 pigai amp yandri are pains in as kabinet probowo gibran periode perdana sih menurut gw om treatment ps ke kedua org ini cocoknya sama seperti treatment yg dikasih jkw ke rizal ramli di periode jkw jk dikasih target kerja kalo ga perform tinggal kick disini ps akan diuji,0,51,"['pigai', 'amp', 'yandri', 'are', 'pains', 'in', 'as', 'kabinet', 'probowo', 'gibran', 'periode', 'perdana', 'om', 'treatment', 'ps', 'org', 'cocok', 'treatment', 'kasih', 'rizal', 'ramli', 'periode', 'jk', 'kasih', 'target', 'kerja', 'kalo', 'perform', 'tinggal', 'kick', 'ps', 'uji']",1
lebih baik ini maknanya masih multidimensi bli baik yg bagaiman baik untuk siapa baik apanya ampura respon saya untuk kabinet titipan ini masih nokomen wait n see seken megae beneh ape cm retorika di depan media gen ane luung,-1,39,"['makna', 'multidimensi', 'bli', 'bagaiman', 'apa', 'ampura', 'respon', 'kabinet', 'titip', 'nokomen', 'wait', 'see', 'ken', 'megae', 'beneh', 'ape', 'cm', 'retorika', 'media', 'gen', 'ane', 'luung']",0
 baru belajar kabinet ko isi nya orang yg baru belajar ya gimna mau bantu urus negara mentri nya baru belajar berarti blm ada pengalaman apa dong begitu banyak pertanyaan di otak gua skrng,-1,34,"['ajar', 'kabinet', 'ko', 'isi', 'nya', 'orang', 'ajar', 'gimna', 'bantu', 'urus', 'negara', 'tri', 'nya', 'ajar', 'alam', 'otak', 'skrng']",0
kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,-1,14,"['pikir', 'nambahnya', 'kabinet', 'tri', 'kantor', 'taruh', 'mana']",0
 lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun sampe ada jabatan diluat kabinet kl dia pinter thn kaga mandek jd presiden bs jd prrsiden jg krn jokodok t cui abisnya wkwk ,-1,56,"['junjung', 'aku', 'org', 'pinter', 'butuh', 'org', 'pinter', 'sekitar', 'thats', 'why', 'tri', 'bejibun', 'sampe', 'jabat', 'luat', 'kabinet', 'kl', 'pinter', 'thn', 'mandek', 'presiden', 'prrsiden', 'jokodok', 't', 'cui', 'abis', 'wkwk']",0
 mantul pak menteri rja rapat kabinet paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,1,17,"['mantul', 'menteri', 'rja', 'rapat', 'kabinet', 'paripurna', 'perdana', 'baik', 'cerdas', 'bangsa']",2
 mestinya yg di push total bukan di pak atau pak saja justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin caranya gmn yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ,0,48,"['mesti', 'push', 'total', 'dng', 'duduk', 'orang', 'kabinet', 'jadi', 'peluang', 'buka', 'borok', 'kerjaankerjaan', 'kemarin', 'gmn', 'yaa', 'push', 'total', 'perangkat', 'hukum', 'biar', 'sehat', 'kerja', 'nyata']",1
 jangan cuma omon omon alias lips service ala mulyono awokwokwok buktikan badan penerimaan gagal zaken kabinet gagal naikan gaji guru belum terlaksana oktober,-1,28,"['omon', 'omon', 'alias', 'lips', 'service', 'mulyono', 'awokwokwok', 'bukti', 'badan', 'terima', 'gagal', 'zaken', 'kabinet', 'gagal', 'naik', 'gaji', 'guru', 'laksana', 'oktober']",0
kabinet prabowo ni kok kebanyakan retorika kenapa ya,-1,8,"['kabinet', 'prabowo', 'banyak', 'retorika']",0
 isu kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta dan menyebut bbrp nama akan merapat ke presiden isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,-1,33,"['isu', 'kemaren', 'gagal', 'bikin', 'gibran', 'gagal', 'lantik', 'bikin', 'isu', 'kudeta', 'sebut', 'bbrp', 'nama', 'rapat', 'presiden', 'isu', 'dpt', 'drmn', 'tifa', 'kau', 'paranormal', 'orang', 'kabinet', 'dpt', 'bisik']",0
 wah keren kabinet merah putih sudah siap kerja cepat dan berhasil sukses pak ,1,17,"['keren', 'kabinet', 'merah', 'putih', 'kerja', 'cepat', 'hasil', 'sukses']",2
 rencana akan gagal jika prb berani undang pdip masuk ke kabinet semua tergantung keberanian prb apa mau terus berada di bawah bayang nya ,0,25,"['rencana', 'gagal', 'prb', 'berani', 'undang', 'pdip', 'masuk', 'kabinet', 'gantung', 'berani', 'prb', 'bayang', 'nya']",1
 tiap hari aja ada berita antik ttg kabinet baru,-1,10,"['berita', 'antik', 'ttg', 'kabinet']",0
rapat kabinet awal luar biasa penegasan kpd bawahannyabeda pimpinan beda gaya sistemnya kalau dulu tidak ada visi misi menteri skrng efisieni dan pembangunan ekonomi kedalammantaapd ,1,26,"['rapat', 'kabinet', 'tegas', 'kpd', 'bawahannyabeda', 'pimpin', 'beda', 'gaya', 'sistem', 'visi', 'misi', 'menteri', 'skrng', 'efisien', 'bangun', 'ekonomi', 'kedalammantaapd']",2
 jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,-1,14,"['kabinet', 'ramping', 'efisien', 'kalo', 'gemuk', 'gimana', 'efisien']",0
 termasuk jg batal menarik pdip ke kabinet intinya ikut maunya jokowi dulu begitu prabowo dilantik baru prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm sampai bulan kedepan termasuk menjegal karena jelas telah menghina harkat dan martabat prabowo,-1,43,"['batal', 'tarik', 'pdip', 'kabinet', 'inti', 'mau', 'jokowi', 'prabowo', 'lantik', 'prabowo', 'apa', 'lalu', 'reshuffle', 'depan', 'jegal', 'hina', 'harkat', 'martabat', 'prabowo']",0
 rapat kabinet paripurna perdana dan langsung tancap gas sukses,1,12,"['rapat', 'kabinet', 'paripurna', 'perdana', 'langsung', 'tancap', 'gas', 'sukses']",2
 gak ada pengen nerjunin propam pak pa kasihan di awal kabinet banyak ujian,-1,18,"['gak', 'ken', 'nerjunin', 'propam', 'kasihan', 'kabinet', 'uji']",0
melht siprabowo tersandera olh jokowi naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn si prabowo jd ri diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo siprabowo bkl jd boneka br utk kepentgn cina,-1,47,"['melht', 'siprabowo', 'sandera', 'olh', 'jokowi', 'naga', 'susun', 'kabinet', 'dipstkn', 'rejim', 'siprabowo', 'lbh', 'zlm', 'lg', 'rejim', 'jokowi', 'prabowo', 'duga', 'kemngn', 'palsu', 'hsl', 'rkys', 'snjt', 'sijokowi', 'menyndra', 'siprabowo', 'siprabowo', 'bkl', 'boneka', 'br', 'kepentgn', 'cina']",0
 cukup lengkap pengantar pembuka rapat kabinet perdana oleh presidenhanya dlm video ini tidak ada sama sekali menyinggung tentang ikn dan bagaimana rencana kedepannya dan siapa menteri penanggung jawab percepatan penyelesaian ikn apakah langsung ditangani wapres ,-1,38,"['lengkap', 'antar', 'buka', 'rapat', 'kabinet', 'perdana', 'presidenhanya', 'video', 'singgung', 'ikn', 'rencana', 'depan', 'menteri', 'tanggung', 'cepat', 'selesai', 'ikn', 'langsung', 'tangan', 'wapres']",0
 kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omonomon tuh wapres blm rapat kabinet pertama dah pencitraan,-1,21,"['kalo', 'cuman', 'ucap', 'tindak', 'nama', 'omonomon', 'wapres', 'rapat', 'kabinet', 'citra']",0
mau kedatangan tim kabinet gemoy vibes magelang dah terasa beda ,-1,10,"['datang', 'tim', 'kabinet', 'gemoy', 'vibes', 'magelang', 'beda']",0
 buat kabinet bayangan nak mintak duit macam la tak ada gaji jadi mp selama ni diminta bajet alternatif jadi mcm si badrul la pulak ,-1,33,"['kabinet', 'bayang', 'nak', 'mintak', 'duit', 'la', 'gaji', 'mp', 'bajet', 'alternatif', 'mcm', 'badrul', 'la', 'pulak']",0
politik kompromistik presiden memainkan gestur bijak dgn mengakomodir semua kepentingan hak prerogatif sbg hak konstitusional akan dipakainya hari usia kabinet yg layak lanjut yg tak layak out misi tegas pak presiden di tunggu ,0,36,"['politik', 'kompromistik', 'presiden', 'main', 'gestur', 'bijak', 'mengakomodir', 'penting', 'hak', 'prerogatif', 'hak', 'konstitusional', 'pakai', 'usia', 'kabinet', 'layak', 'layak', 'out', 'misi', 'presiden', 'tunggu']",1
 apa yang bisa diharapkan dari kabinet macam ini,-1,9,"['harap', 'kabinet']",0
 kabinet dwikora ll di orba lebih banyak lagi personal,-1,12,"['kabinet', 'dwikora', 'll', 'orba', 'personal']",0
 satu kata pecat menteri aji mumpung ini wahai pak agar nyata kabinet anda hanya diisi oleh orang bersih dan berintegritas,-1,22,"['pecat', 'menteri', 'aji', 'mumpung', 'nyata', 'kabinet', 'isi', 'orang', 'bersih', 'integritas']",0
kabinet merah putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak ,1,29,"['kabinet', 'merah', 'putih', 'nama', 'kombinasi', 'jiwa', 'patriotisme', 'jiwa', 'begawan', 'darah', 'orang', 'begawan', 'ekonom', 'milik', 'bangsa', 'kakek']",2
 birokrasi kita terkenal ribetnya dan kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet,-1,15,"['birokrasi', 'kenal', 'ribetnya', 'kalo', 'kabinet', 'rungkad', 'ribet']",0
 tempe lagi kepercayaan dan kabinet tergemuk orba dwikora ll menterinya personal hayo gimana tu,-1,20,"['tempe', 'percaya', 'kabinet', 'gemuk', 'orba', 'dwikora', 'll', 'menteri', 'personal', 'hayo', 'gimana']",0
pesan tegas pak prabowo subianto presiden ri di sidang kabinet perdana didampingi mas fufufafa ape loe ,-1,17,"['pesan', 'prabowo', 'subianto', 'presiden', 'sidang', 'kabinet', 'perdana', 'damping', 'mas', 'ape', 'loe']",0
rabu oktober sidang paripurna perdana kabinet merah putih ,0,10,"['rabu', 'oktober', 'sidang', 'paripurna', 'perdana', 'kabinet', 'merah', 'putih']",1
 ulasan politisi dan budayawan senior pak eros djarot ttg kabinet prabowo ,0,12,"['ulas', 'politis', 'budayawan', 'senior', 'eros', 'djarot', 'ttg', 'kabinet', 'prabowo']",1
 mungkin ditahan untuk disampaikan ke masy umum pak cukup dibahas di rapat kabinet,0,14,"['tahan', 'masy', 'bahas', 'rapat', 'kabinet']",1
 kabinet gemuk plus menteri nya kebanyakan bukan hasil meritokrasi tapi bagi kursi udah gemuk gak sehat amat pulak jangankan lari jalan aja susah lah jadi kayak boss nya yak ,-1,29,"['kabinet', 'gemuk', 'plus', 'menteri', 'nya', 'banyak', 'hasil', 'meritokrasi', 'kursi', 'udah', 'gemuk', 'gak', 'sehat', 'pulak', 'lari', 'jalan', 'susah', 'kayak', 'boss', 'nya', 'yak']",0
eh demiapasi wamen kabinet skrg begini yg bener ajeeeee,-1,9,"['eh', 'apas', 'wamen', 'kabinet', 'bener', 'ajeeeee']",0
 yang pasti kabinet dan dewan semakin gendut diluar efektivitas dan kemampuan anggaran negara,-1,14,"['kabinet', 'dewan', 'gendut', 'luar', 'efektivitas', 'mampu', 'anggar', 'negara']",0
 para manusia najis ini maunya apa y woi kampret prabowo itu sudah x nyapres selalu gagal baru kali ini beliau berhasil dan itu karena dukungan jokowi kemarin kalau jokowi dukung ganjar selesai sdah impian prabowo wajar kalau kabinet prabowo masih diisi beberapa wajah lama,-1,46,"['manusia', 'najis', 'mau', 'y', 'woi', 'kampret', 'prabowo', 'x', 'nyapres', 'gagal', 'kali', 'beliau', 'hasil', 'dukung', 'jokowi', 'kemarin', 'jokowi', 'dukung', 'ganjar', 'selesai', 'sdah', 'impi', 'prabowo', 'wajar', 'kabinet', 'prabowo', 'isi', 'wajah']",0
 mosok sudah berjuang kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama si goban terus rela di bunuh gitu lalu masa akhir hidupya kayak apa mencret justru si goban bentar lagi ilang menteri ex joko di reshuffle,-1,46,"['mosok', 'juang', 'kali', 'pilpres', 'gagal', 'jual', 'menhan', 'kabinet', 'joko', 'udah', 'tanin', 'gob', 'rela', 'bunuh', 'gitu', 'hidupya', 'kayak', 'mencret', 'gob', 'bentar', 'ilang', 'menteri', 'ex', 'joko', 'reshuffle']",0
 dengan adanya desentralisasi semestinya kabinet dan perangkat lain pusat tidak terlalu besar sebab daerah sudah punya otonomi,0,18,"['desentralisasi', 'mesti', 'kabinet', 'perangkat', 'pusat', 'daerah', 'otonomi']",1
 lagian tubuh kabinet kok segendut itu sih apa ga hambur uang gaji aja jumlah menteri lebih banyak dari team karnaval ,-1,22,"['tubuh', 'kabinet', 'gendut', 'hambur', 'uang', 'gaji', 'menteri', 'team', 'karnaval']",0
