Tweet,Sentimen,Tweet Length,Tokens
 kabinet halu,negatif,3,"['kabinet', 'halu']"
kabinet kacau balau mau bagaimana nasih nkri th kedepan etika berpolitik moralitas berpolitik dll bukan untuk warga nkri hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,negatif,34,"['kabinet', 'kacau', 'balau', 'mau', 'bagaimana', 'nasih', 'nkri', 'th', 'kedepan', 'etika', 'berpolitik', 'moralitas', 'berpolitik', 'dll', 'bukan', 'untuk', 'warga', 'nkri', 'hanya', 'mengebiri', 'kitakita', 'pembodohan', 'terhadap', 'warga', 'berpendidikan', 'tinggi', 'membius', 'warga', 'yg', 'belum', 'terjamah', 'ilmu']"
 apakah beliau bisa jadi raja tega demi kepentingan pemerintah spt jkw atau malah ga tegaan yg akhirnya malah jadi beban kabinet,negatif,22,"['apakah', 'beliau', 'bisa', 'jadi', 'raja', 'tega', 'demi', 'kepentingan', 'pemerintah', 'spt', 'jkw', 'atau', 'malah', 'ga', 'tegaan', 'yg', 'akhirnya', 'malah', 'jadi', 'beban', 'kabinet']"
 jerome polin harusnya diajak gabung kabinet merah putih,netral,9,"['jerome', 'polin', 'harusnya', 'diajak', 'gabung', 'kabinet', 'merah', 'putih']"
 bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,negatif,16,"['bukan', 'apa', 'kalau', 'dah', 'dlm', 'kabinet', 'nak', 'tolak', 'duit', 'masuk', 'kabinet', 'dulu', 'baru', 'buat', 'budget']"
 pigai amp yandri are pains in as kabinet probowo gibran periode perdana sih menurut gw om treatment ps ke kedua org ini cocoknya sama seperti treatment yg dikasih jkw ke rizal ramli di periode jkw jk dikasih target kerja kalo ga perform tinggal kick disini ps akan diuji,netral,51,"['pigai', 'amp', 'yandri', 'are', 'pains', 'in', 'as', 'kabinet', 'probowo', 'gibran', 'periode', 'perdana', 'sih', 'menurut', 'gw', 'om', 'treatment', 'ps', 'ke', 'kedua', 'org', 'ini', 'cocoknya', 'sama', 'seperti', 'treatment', 'yg', 'dikasih', 'jkw', 'ke', 'rizal', 'ramli', 'di', 'periode', 'jkw', 'jk', 'dikasih', 'target', 'kerja', 'kalo', 'ga', 'perform', 'tinggal', 'kick', 'disini', 'ps', 'akan', 'diuji']"
lebih baik ini maknanya masih multidimensi bli baik yg bagaiman baik untuk siapa baik apanya ampura respon saya untuk kabinet titipan ini masih nokomen wait n see seken megae beneh ape cm retorika di depan media gen ane luung,negatif,39,"['lebih', 'baik', 'ini', 'maknanya', 'masih', 'multidimensi', 'bli', 'baik', 'yg', 'bagaiman', 'baik', 'untuk', 'siapa', 'baik', 'apanya', 'ampura', 'respon', 'saya', 'untuk', 'kabinet', 'titipan', 'ini', 'masih', 'nokomen', 'wait', 'n', 'see', 'seken', 'megae', 'beneh', 'ape', 'cm', 'retorika', 'di', 'depan', 'media', 'gen', 'ane', 'luung']"
 baru belajar kabinet ko isi nya orang yg baru belajar ya gimna mau bantu urus negara mentri nya baru belajar berarti blm ada pengalaman apa dong begitu banyak pertanyaan di otak gua skrng,negatif,34,"['baru', 'belajar', 'kabinet', 'ko', 'isi', 'nya', 'orang', 'yg', 'baru', 'belajar', 'ya', 'gimna', 'mau', 'bantu', 'urus', 'negara', 'mentri', 'nya', 'baru', 'belajar', 'berarti', 'blm', 'ada', 'pengalaman', 'apa', 'dong', 'begitu', 'banyak', 'pertanyaan', 'di', 'otak', 'gua', 'skrng']"
kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,negatif,14,"['kepikiran', 'dengan', 'nambahnya', 'kabinet', 'mentri', 'itu', 'yang', 'belum', 'punya', 'kantor', 'sementara', 'di', 'taruh', 'dimana']"
 lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun sampe ada jabatan diluat kabinet kl dia pinter thn kaga mandek jd presiden bs jd prrsiden jg krn jokodok t cui abisnya wkwk ,negatif,56,"['lah', 'junjungan', 'lu', 'sendiri', 'mengakui', 'dia', 'bukan', 'org', 'pinter', 'makanya', 'butuh', 'org', 'pinter', 'disekitarnya', 'thats', 'why', 'mentrinya', 'bejibun', 'sampe', 'ada', 'jabatan', 'diluat', 'kabinet', 'kl', 'dia', 'pinter', 'thn', 'kaga', 'mandek', 'jd', 'presiden', 'bs', 'jd', 'prrsiden', 'jg', 'krn', 'jokodok', 't', 'cui', 'abisnya', 'wkwk']"
 mantul pak menteri rja rapat kabinet paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,positif,17,"['mantul', 'pak', 'menteri', 'rja', 'rapat', 'kabinet', 'paripurna', 'perdana', 'semua', 'untuk', 'kebaikan', 'dan', 'kecerdasan', 'bangsa']"
 mestinya yg di push total bukan di pak atau pak saja justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin caranya gmn yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ,netral,48,"['mestinya', 'yg', 'di', 'push', 'total', 'bukan', 'di', 'pak', 'atau', 'pak', 'saja', 'justru', 'dng', 'duduknya', 'orang', 'lama', 'di', 'kabinet', 'baru', 'bisa', 'di', 'jadikan', 'peluang', 'membuka', 'borok', 'kerjaankerjaan', 'mereka', 'kemarin', 'caranya', 'gmn', 'yaa', 'caranya', 'push', 'total', 'supaya', 'perangkat', 'hukum', 'biar', 'sehat', 'dan', 'bisa', 'kerja', 'nyata']"
 jangan cuma omon omon alias lips service ala mulyono awokwokwok buktikan badan penerimaan gagal zaken kabinet gagal naikan gaji guru belum terlaksana oktober,negatif,28,"['jangan', 'cuma', 'omon', 'omon', 'alias', 'lips', 'service', 'ala', 'mulyono', 'awokwokwok', 'buktikan', 'badan', 'penerimaan', 'gagal', 'zaken', 'kabinet', 'gagal', 'naikan', 'gaji', 'guru', 'belum', 'terlaksana', 'oktober']"
kabinet prabowo ni kok kebanyakan retorika kenapa ya,negatif,8,"['kabinet', 'prabowo', 'ni', 'kok', 'kebanyakan', 'retorika', 'kenapa', 'ya']"
 isu kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta dan menyebut bbrp nama akan merapat ke presiden isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,negatif,33,"['isu', 'kemaren', 'gagal', 'bikin', 'gibran', 'gagal', 'dilantik', 'skrg', 'bikin', 'isu', 'kudeta', 'dan', 'menyebut', 'bbrp', 'nama', 'akan', 'merapat', 'ke', 'presiden', 'isu', 'dpt', 'drmn', 'tifa', 'kau', 'paranormal', 'orang', 'kabinet', 'atau', 'dpt', 'bisikan']"
 wah keren kabinet merah putih sudah siap kerja cepat dan berhasil sukses pak ,positif,17,"['wah', 'keren', 'kabinet', 'merah', 'putih', 'sudah', 'siap', 'kerja', 'cepat', 'dan', 'berhasil', 'sukses', 'pak']"
 rencana akan gagal jika prb berani undang pdip masuk ke kabinet semua tergantung keberanian prb apa mau terus berada di bawah bayang nya ,netral,25,"['rencana', 'akan', 'gagal', 'jika', 'prb', 'berani', 'undang', 'pdip', 'masuk', 'ke', 'kabinet', 'semua', 'tergantung', 'keberanian', 'prb', 'apa', 'mau', 'terus', 'berada', 'di', 'bawah', 'bayang', 'nya']"
 tiap hari aja ada berita antik ttg kabinet baru,negatif,10,"['tiap', 'hari', 'aja', 'ada', 'berita', 'antik', 'ttg', 'kabinet', 'baru']"
rapat kabinet awal luar biasa penegasan kpd bawahannyabeda pimpinan beda gaya sistemnya kalau dulu tidak ada visi misi menteri skrng efisieni dan pembangunan ekonomi kedalammantaapd ,positif,26,"['rapat', 'kabinet', 'awal', 'luar', 'biasa', 'penegasan', 'kpd', 'bawahannyabeda', 'pimpinan', 'beda', 'gaya', 'sistemnya', 'kalau', 'dulu', 'tidak', 'ada', 'visi', 'misi', 'menteri', 'skrng', 'efisieni', 'dan', 'pembangunan', 'ekonomi', 'kedalammantaapd']"
 jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,negatif,14,"['jika', 'jumlah', 'kabinet', 'di', 'rampingkan', 'itu', 'efisien', 'kalo', 'di', 'gemukkan', 'gimana', 'mau', 'efisien']"
 termasuk jg batal menarik pdip ke kabinet intinya ikut maunya jokowi dulu begitu prabowo dilantik baru prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm sampai bulan kedepan termasuk menjegal karena jelas telah menghina harkat dan martabat prabowo,negatif,43,"['termasuk', 'jg', 'batal', 'menarik', 'pdip', 'ke', 'kabinet', 'intinya', 'ikut', 'maunya', 'jokowi', 'dulu', 'begitu', 'prabowo', 'dilantik', 'baru', 'prabowo', 'bisa', 'melakukan', 'apapun', 'termasuk', 'melalukan', 'reshuffle', 'dlm', 'sampai', 'bulan', 'kedepan', 'termasuk', 'menjegal', 'karena', 'jelas', 'telah', 'menghina', 'harkat', 'dan', 'martabat', 'prabowo']"
 rapat kabinet paripurna perdana dan langsung tancap gas sukses,positif,12,"['rapat', 'kabinet', 'paripurna', 'perdana', 'dan', 'langsung', 'tancap', 'gas', 'sukses']"
 gak ada pengen nerjunin propam pak pa kasihan di awal kabinet banyak ujian,negatif,18,"['gak', 'ada', 'pengen', 'nerjunin', 'propam', 'pak', 'pa', 'kasihan', 'di', 'awal', 'kabinet', 'banyak', 'ujian']"
