Tokenized,Label_Encoded,Prediksi_NB,Prediksi_SVM
"['tafsir', 'teman', 'fb', 'nama', 'kabinet', 'kabinet', 'merahputih', 'merah', 'darah', 'putih', 'mutih', 'sejarah']",-1,1,1
"['pimpin', 'sidang', 'kabinet', 'paripurna', 'perdana', 'presiden', 'tekan', 'satu', 'nasional', 'daulat', 'bangsa', 'bekal', 'menteri', 'magelang', 'jawa']",1,0,0
"['kabinet', 'kuat']",1,-1,-1
"['kalo', 'rapat', 'kabinet', 'wamennua']",0,-1,-1
"['cen', 'kabinet']",1,-1,-1
"['retret', 'kuat', 'kerja', 'kabinet', 'bebas', 'korupsi']",1,-1,-1
"['kabinet', 'omon', 'omon', 'ruu', 'koperasi', 'global', 'amp', 'krisis', 'definisi', 'energi', 'nasional', 'lanjut', 'rpp', 'bijak', 'energi', 'nasional']",-1,1,-1
"['langkah', 'cepat', 'jalan', 'programprogram', 'kerja', 'beliau', 'harap', 'jejakjejak', 'kerja', 'kabinet', 'merah', 'putih', 'konsekuensi', 'menteri', 'sanksi', 'rakyat', 'hasil', 'kerja', 'perintah']",-1,1,1
"['presiden', 'prabowo', 'subianto', 'arah', 'kota', 'nusantara', 'ikn', 'retret', 'kabinet', 'merah', 'putih', 'magelang', 'jawa', 'milik', 'rencana', 'rampung', 'bangun', 'ikn']",1,0,-1
"['dana', 'pribadi', 'prabowo', 'biar', 'kabinet', 'kompak']",1,-1,1
"['program', 'kerja', 'kabinet', 'dukung', 'ekonomi', 'rakyat']",1,-1,1
"['langkah', 'selamat', 'manufaktur', 'kabinet', 'prabowo']",0,1,1
"['pohon', 'lanjut', 'sumber', 'daya', 'alam', 'pohon', 'sedia', 'oksigen', 'himbio', 'fmipa', 'unpad', 'dewan', 'urus', 'xlv', 'kabinet', 'neuron']",0,-1,-1
"['prabowo', 'bentuk', 'super', 'tim', 'kabinet', 'merah', 'putih']",-1,1,1
"['kabinet', 'prerogatif', 'prabowo', 'joe', 'biden', 'presiden', 'kepala', 'negara', 'kepala', 'perintah', 'hak', 'prerogatif', 'angkat', 'henti', 'menteri', 'moch', 'eks', 'diri', 'eks', 'institute', 'vini', 'najwa', 'shihab', 'padang', 'messi', 'wwii', 'sdit']",0,-1,-1
"['menteri', 'lindung', 'kerja', 'migran', 'indonesiakepala', 'badan', 'lindung', 'kerja', 'migran', 'indonesia', 'abdul', 'kadir', 'karding', 'ungkap', 'presiden', 'prabowo', 'subianto', 'biaya', 'giat', 'retreat', 'kabinet', 'merah', 'putih', 'uang', 'pribadi']",0,1,0
"['raffi', 'ahmad', 'kabinet', 'merah', 'putih', 'kemarin', 'laksana', 'retreat', 'akmil', 'magelang', 'raffi', 'pesan', 'presiden', 'prabowo', 'subianto']",0,1,0
"['iya', 'review', 'kabinet']",0,-1,-1
"['siskaeee', 'jerat', 'prngrapi', 'dakwa', 'penjara', 'viral', 'full', 'album', 'kabinet', 'prabowo', 'gibran', 'kompaknomaju', 'indonesia', 'raya', 'langsung', 'gasss', 'kerja', 'cepattt', 'seungkwan']",0,-1,-1
"['pt', 'persero', 'sukses', 'rangkai', 'retreat', 'kabinet', 'merah', 'putih', 'inisiasi', 'presiden', 'prabowo', 'subianto', 'akademi', 'militer']",0,1,1
"['rocky', 'gerung', 'bina', 'kabinet', 'merah', 'putih', 'hambalang', 'magelang', 'guna']",-1,1,1
"['wakil', 'pimpin', 'rapat', 'kabinet', 'arah', 'menteri']",-1,0,-1
"['politik', 'kompromistik', 'presiden', 'main', 'gestur', 'bijak', 'mengakomodir', 'penting', 'hak', 'prerogatif', 'hak', 'konstitusional', 'pakai', 'usia', 'kabinet', 'layak', 'layak', 'out', 'misi', 'presiden', 'tunggu']",0,-1,-1
"['sidang', 'kabinet', 'paripurna', 'prabowo', 'tuju', 'utama', 'perintah', 'sesuai', 'uud']",1,0,-1
"['kabinet', 'merah', 'putih', 'red', 'alert']",-1,1,1
"['tahan', 'masy', 'bahas', 'rapat', 'kabinet']",0,-1,-1
"['wkwkwkpusing', 'baca', 'indonesia', 'emas', 'kabinet']",0,-1,-1
"['menteri', 'dpr', 'maklum', 'ajar', 'yandri', 'awak', 'media', 'istana', 'jelang', 'sidang', 'kabinet', 'jakarta', 'rabu', 'mo', 'nulis', 'komentar', 'yandri', 'bingung', 'sgt', 'dasar', 'ja', 'g', 'ngarti']",-1,0,0
"['partai', 'nasdem', 'tempat', 'kader', 'kabinet', 'merah', 'putih']",0,-1,0
"['perintah', 'presiden', 'prabowo', 'subianto', 'presiden', 'prabowo', 'terimakasih', 'beliau', 'kabinet', 'merah', 'putih', 'kerja', 'negeri', 'eksploitasi']",1,0,0
"['goblok', 'kompak', 'kabinet', 'bikin', 'umkm', 'support', 'bisnis', 'jalan', 'lancar', 'tementemen', 'hedonis', 'lo', 'doang']",-1,1,1
"['profil', 'setiawan', 'ichlas', 'utus', 'khusus', 'bidang', 'ekonomi', 'perban', 'kabinet', 'merah', 'putih']",0,-1,-1
"['full', 'arah', 'presiden', 'prabowo', 'sidang', 'perdana', 'kabinet', 'merah', 'putih', 'menterikepala', 'badan']",1,0,0
"['kabinet', 'ruwat', 'massal']",0,-1,-1
"['jelas', 'presiden', 'prabowo', 'kabinet', 'gemoy']",0,-1,-1
"['kawal', 'kabinet', 'merah', 'putih']",0,1,1
"['saifuddin', 'nasution', 'kabinet', 'mahathir', 'menteri', 'kpdhep', 'kerja', 'sungguhsungguh', 'je', 'manage', 'isu', 'harga', 'barang', 'beras', 'hilang', 'tang', 'kabinet', 'anwar', 'ibrahim', 'laut', 'jawat', 'pm', 'ketua', 'hauk', 'hauk', 'la', 'orang', 'bawah', 'nya']",0,-1,-1
"['thanks', 'supportnya', 'laut', 'sekretaris', 'kabinet']",-1,1,-1
"['abis', 'tenda', 'akmil', 'kabinet', 'merah', 'putih', 'kelas', 'glamping', 'lemgkap', 'tuju', 'sii', 'moga', 'agenda', 'guling', 'guling', 'push', 'up', 'lapang', 'yeee']",-1,1,1
"['kabinet', 'prabowo', 'haji', 'isam', 'harap', 'indonesia', 'antikorupsi', 'aspek', 'kaji', 'izin', 'sorot', 'sisi', 'hukum', 'tata', 'negara', 'prinsip', 'antikorupsi', 'denny', 'indrayana', 'exwamenkumham', 'vini', 'najwa', 'shihab', 'padang', 'banda', 'neira']",0,-1,-1
"['akmil', 'bikin', 'kabinet', 'solid']",0,1,1
"['usul', 'mumpung', 'kabinet', 'jalan', 'unt', 'dikdasmen', 'mohon', 'kurikulum', 'didik', 'tekan', 'pekerti', 'lahir', 'generasi', 'santun', 'pintar', 'kaya', 'bangsa', 'terimakasih']",0,1,-1
"['tsb', 'sekretariat', 'negara', 'kabinet']",0,-1,-1
"['rakyat', 'dapat', 'beliau', 'khan', 'presiden', 'biar', 'bawa', 'rapat', 'kabinet', 'lucu', 'produk', 'kait', 'sdm', 'visi', 'imdonesia', 'emas', 'atur', 'urus']",1,-1,-1
"['giat', 'media', 'sosial', 'dokter', 'tifa', 'komentar', 'kabar', 'wapres', 'gibran', 'rakabuming', 'raka', 'pulang', 'akmil', 'magelang']",-1,0,0
"['anggur', 'retret', 'kabinet']",-1,1,1
"['menteri', 'kabinet', 'merah', 'putih', 'ospek', 'canang', 'presiden', 'republik', 'indonesia', 'prabowo', 'subianto', 'akmil', 'magelang', 'meanwhile', 'komdis', 'ospek', 'akmil', 'ikat', 'pinggang', 'nya']",-1,0,0
"['menganalisa', 'loyalitas', 'kapasitas', 'anggota', 'kabinet', 'khan', 'intelijen', 'jalan', 'mustinya', 'kurang', 'kerja', 'harap', 'lets', 'ps', 'play', 'his', 'game', 'amat', 'bareng']",0,-1,-1
"['maaf', 'banget', 'ngeh', 'struktur', 'kabinet', 'merah', 'putih', 'wowo', 'sad', 'banget', 'bu', 'retno', 'gajadi', 'menlu', 'but', 'i', 'll', 'be', 'always', 'respect', 'for', 'her', 'and', 'team', 'because', 'their', 'action', 'when', 'walk', 'out', 'from', 'rapat', 'pbb', 'for', 'stand', 'palestine']",-1,1,-1
"['semangat', 'anti', 'korupsi', 'lingkung', 'amppemerintah', 'menyiapkanmengakomodir', 'lembaga', 'adu', 'amppembinaan', 'kala', 'ada', 'rapat', 'evaluasi', 'tingkat', 'lurah', 'camat', 'dst', 'sampa', 'terahir', 'kabinet', 'publikaksan']",1,-1,-1
"['kalo', 'pprabowo', 'fokus', 'berantas', 'narkoba', 'judi', 'online', 'berantas', 'korupsi', 'sy', 'rakyat', 'dukung', 'fullapalagi', 'anggota', 'kabinet', 'nya', 'wouw', 'kerrent']",1,-1,-1
"['juru', 'bicara', 'kabinet', 'prabowo', 'intip', 'deret', 'tokoh', 'jubir', 'andal', 'presiden']",0,-1,-1
"['indonesia', 'digital', 'berkat', 'program', 'kabinet', 'jitu']",-1,1,-1
"['image', 'lini', 'kabinet', 'gelar']",1,-1,-1
"['presiden', 'prabowo', 'menteri', 'kabinet', 'merah', 'putih', 'apbn', 'ajar', 'dipa', 'uang']",1,-1,0
"['prabowo', 'harap', 'wujud', 'janji', 'reformasi', 'rocky', 'gerung', 'publik', 'pantau', 'gerak', 'kabinet', 'merah', 'putih']",-1,1,1
"['menteri', 'panrb', 'gaji', 'asn', 'pindah', 'menteri', 'transformasi', 'menteri', 'kabinet', 'merah', 'putih', 'rugi', 'pegawai']",1,-1,-1
"['awokwokwokwok', 't', 'pecat', 'menteri', 'prabowo', 'kabinet', 'merah', 'putih', 'pigai']",-1,0,0
"['sesneg', 'jabat', 'kayak', 'sekretaris', 'kelas', 'tugas', 'ngurus', 'administrasi', 'kabinet', 'protokoler', 'beneran', 'nyamain', 'masalah', 'simple', 'sampah', 'mata', 'masalah', 'kompleks']",0,-1,-1
"['harapharap', 'cemas', 'kerja', 'kabinet', 'merah', 'putih', 'prabowogibran']",0,1,1
"['tri', 'kabinet', 'benah', 'rancang', 'kurikulum', 'here', 'we', 'go', 'again']",0,-1,-1
"['gibran', 'tugas', 'pimpin', 'laksana', 'program', 'makan', 'gizi', 'gratis', 'program', 'beranta', 'ngak', 'gubran', 'hadir', 'sidang', 'kabinet', 'merah', 'putih', 'nampak', 'kagok', 'duduk', 'kursi', 'wapres', 'nambah', 'wibawa', 'nya']",-1,0,0
"['jamal', 'nasir', 'cadang', 'bekas', 'atlet', 'lantik', 'serta', 'kabinet']",0,-1,-1
"['ratu', 'spanyol', 'smp', 'kotor', 'penuh', 'lumpur', 'rela', 'kata', 'in', 'rakyat', 'meanwhile', 'kabinet', 'perintah', 'gak', 'tanggung', 'and', 'kabur']",0,-1,-1
"['gebrak', 'kabinet', 'prabowo']",0,-1,-1
"['kelakar', 'sam', 'one', 'of', 'a', 'potential', 'leader', 'takde', 'kabinet', 'bayang', 'gelap', 'pn']",0,-1,-1
