Tweet,Sentimen,Tweet Length
Pemimpin boleh berganti tapi harapan rakyat tetap sama keadilan kejujuran dan keberpihakan pada yang lemah Semoga kabinet baru bukan hanya sekadar wajah baru tetapi hadir dengan kebijakan yang berpihak pada masa depan bangsa,netral,33
  pak itu ide sangat bagus  Tapi lebih bagus lagi kalau bapak kerjakan dulu tunggakan2 HAM yg belym terselesaikan tg mungkin jauh lebih baik daripada rencana yg belum dibicarakan dgn presiden dan kabinet ,negatif,36
 Pengin dengar jawaban saudaraku yang non 58 1kita biarkan saja karena kalah 2efek kabinet super gemuk 3tak mungkin dikabulkan 4masa bodoh Jgn lupa komennya,negatif,25
Hashim Buka Suara soal Kabinet Gemuk Prabowo Yang Penting Output  ,netral,11
 Ya kan saya baru jadi menteri jadi saya selama 30 tahun jadi DPR ya kan Ya maklumlah baru belajar ujar Yandri kepada awak media di Istana jelang sidang kabinet Jakarta pada Rabu 23102024 Mo nulis komentar buat si yandri bingung gw nih hal sgt dasar ja g ngarti,negatif,48
 Hatihati Rakyat mengawasi dengan ketat kerja para anggota kabinet Merah Putih,netral,12
 alokasi anggaran utk kementrian jadi sorotan amp kritik yg pertama selang 23 hari kabinet  dilantik makan gratis anggarannya jumbo 71 triliun kmdn kementrianbadan yg urus soal penegakan hukumampdemokrasi pemberantasan KKN dan yg lbh miris Anggaran HAM 1 T aja kurang,negatif,42
 Kabinet ramping tapi diisi para professional beneran Kabinet Pembangunan Dari pada Kabinet Merah Kuning Hijau diisi para oportunis ungud guoooob tkng kentit Zionis dkk  ,negatif,26
 Pasti dipecat kalau konsekuen agar tidak menodai kabinet ini,negatif,10
   Kita tunggu kerjakerja nyata Kabinet Merah Putih,netral,10
   Kalo rapat kabinet wamennua tuh ga ikut ya,netral,11
Inilah salah satu alasan kenapa Sri Mulyani di pakai lagi di kabinet merah putih PRESIDEN HARUS MUTER CARI UTANGAN UNTUK MEMBAYAR UTANG WARISAN JOKOWI Miris Gak  Negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,negatif,42
 Wkwkwkpusing Bacanya yg beginian Indonesia Emas untuk Kabinet,netral,9
Mari bicara logis terkat Kabinet Merah Putih Efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping APBN kita defisit 600 triliun mengapa ditambah beban lagi Salam Akal Sehat,negatif,35
  Mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama 5 tahun kedepan,negatif,24
  Gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah 50 kabinet masih di isi orang2 nya mulyono thanks bude susi Kami merindukan ibu untuk bisa berkhidmat lagi untuk NKRI tercinta ini ,negatif,35
Presiden Prabowo Subianto memimpin Sidang Kabinet Paripurna pertama di Kantor Presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan   ometv Cat 8 Baim Pecat Ketuhanan Yang Maha Esa ,netral,33
   Semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,netral,14
Kabinet hurahura Pembekalannya pun dilakukan di Magelang Indikasi megalomania ,negatif,9
Pak  berhati2 lahItu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnyaJgn asyik urusin badut2 kabinet itu pak,negatif,21
 Semoga kabinet JOWO Jokowi Prabowo ini di ganti dengan Kabinet Pak Presiden Probowo,negatif,14
 Kabinet halu,negatif,3
Kabinet kacau balau  Mau bagaimana Nasih NKRI 5th kedepan Etika Berpolitik Moralitas Berpolitik dll Bukan untuk warga NKRI hanya mengebiri kitakita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu ,negatif,34
 Apakah beliau bisa jadi Raja Tega demi kepentingan pemerintah spt JKW atau malah ga tegaan yg akhirnya malah jadi beban kabinet,negatif,22
 Jerome Polin harusnya diajak gabung kabinet merah putih,netral,9
 Bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,negatif,16
 Pigai amp Yandri are pains in as kabinet probowo  gibran periode perdana sih menurut gw om Treatment PS ke kedua org ini cocoknya sama seperti treatment yg dikasih JKW ke Rizal Ramli di periode JKW JK Dikasih target kerja kalo ga perform tinggal kick  disini PS akan diuji,netral,51
Lebih baik ini maknanya masih multidimensi bli Baik yg bagaiman Baik untuk siapa Baik apanya Ampura respon saya untuk kabinet titipan2 ini masih nokomen Wait n see seken megae beneh ape cm retorika di depan media gen ane luung,negatif,39
 Baru belajar Kabinet ko isi nya orang2 yg baru belajar ya Gimna mau bantu urus negara Mentri nya baru belajar Berarti blm ada pengalaman apa2 dong Begitu banyak pertanyaan di otak gua skrng,negatif,34
Kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,negatif,14
           Lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun Sampe ada jabatan2 diluat kabinet  Kl dia pinter 20 thn kaga mandek jd presiden Bs Jd prrsiden jg krn jokodok 471 T cui abisnya wkwk ,negatif,56
   Mantul Pak Menteri RJA Rapat Kabinet Paripurna perdana semua untuk kebaikan dan kecerdasan bangsa,positif,17
 Mestinya yg di push total bukan di pak  atau pak  saja Justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaankerjaan mereka kemarin Caranya gmn Yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata  ,netral,48
 Jangan cuma omon omon  alias lips service ala mulyono  Awokwokwok buktikan Badan penerimaan  gagal Zaken kabinet  gagal Naikan gaji guru belum terlaksana oktober,negatif,28
Kabinet Prabowo ni kok kebanyakan retorika kenapa ya,negatif,8
  Isu2 kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta 2027 dan menyebut bbrp nama akan merapat ke presiden Isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan,negatif,33
   Wah keren Kabinet Merah Putih sudah siap kerja cepat dan berhasil Sukses Pak  ,positif,17
 Rencana 2029 akan gagal jika Prb berani undang pdip masuk ke kabinet Semua tergantung keberanian Prb apa mau terus berada di bawah bayang2nya ,netral,25
 Tiap hari aja ada berita antik ttg kabinet baru,negatif,10
Rapat Kabinet Awal luar biasa Penegasan  kpd bawahannyaBeda Pimpinan beda gaya sistemnya Kalau dulu TIDAK ADA VISI MISI menteri skrng Efisieni dan pembangunan ekonomi kedalammantaaPD ,positif,26
 Jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien,negatif,14
   Termasuk jg batal menarik PDIP ke kabinet intinya ikut maunya jokowi dulu begitu Prabowo dilantik baru Prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm 3 sampai 6 bulan kedepan termasuk menjegal  karena jelas telah menghina harkat dan martabat Prabowo,negatif,43
   Rapat Kabinet Paripurna perdana dan langsung tancap gas sukses,positif,12
   gak ada pengen nerjunin propam pak  Pa  kasihan di awal kabinet banyak ujian,negatif,18
Melht siprabowo tersandera olh jokowi9 naga dlm menyusun kabinet bs dipstkn rejim siprabowo lbh zlm lg dr rejim jokowi krn 1 Si prabowo jd RI1 diduga melalui kemngn palsu hsl rkys jkw itu jd snjt sijokowi menyndra siprabowo 2 Siprabowo bkl jd boneka br utk kepentgn cina,negatif,47
  Cukup lengkap pengantar pembuka rapat kabinet perdana oleh Presidenhanya dlm video ini tidak ada sama sekali menyinggung tentang IKN dan bagaimana rencana kedepannya Dan siapa menteri penanggung jawab percepatan penyelesaian IKN  Apakah langsung ditangani wapres ,negatif,38
 kalo cuman tegas di ucapan tapi tidak dengan tindakan itu namanya omonomon tuh wapres blm rapat kabinet pertama dah pencitraan,negatif,21
Mau kedatangan TIM kabinet Gemoy vibes magelang dah terasa beda ,negatif,10
        Buat kabinet bayangan nak mintak duit Macam la tak ada gaji jadi Mp selama ni Diminta bajet alternatif jadi mcm si badrul la pulak ,negatif,33
POLITIK KOMPROMISTIK  Presiden memainkan gestur bijak dgn mengakomodir semua kepentingan Hak prerogatif sbg hak konstitusional akan dipakainya 100 hari usia kabinet Yg layak lanjut yg tak layak out Misi tegas pak Presiden  di tunggu ,netral,36
 Apa yang bisa diharapkan dari kabinet macam ini,negatif,9
  kabinet dwikora ll di orba lebih banyak lagi 132 personal,negatif,12
 Satu kata pecat menteri aji mumpung ini wahai pak  agar nyata kabinet anda hanya diisi oleh orang bersih dan berintegritas,negatif,22
Kabinet Merah Putih mungkinkah namanya kombinasi dari jiwa patriotisme serta jiwa kebegawanan dari darah 2 orang begawan ekonom yang pernah dimiliki bangsa ini yaitu kakek serta bapak pak ,positif,29
 birokrasi kita terkenal ribetnya dan kalo dgn kabinet yg rungkad ini bukannya malah tambah ribet,negatif,15
   Tempe lagi kepercayaan 16 dan 24 Kabinet tergemuk orba dwikora ll menterinya 132 personal hayo gimana tu,negatif,20
Pesan TEGAS Pak Prabowo Subianto Presiden RI di sidang Kabinet Perdana didampingi Mas fufufafa Ape loe  ,negatif,17
Rabu 23 Oktober 2024Sidang Paripurna Perdana Kabinet Merah Putih ,netral,10
 Ulasan politisi dan budayawan senior Pak Eros Djarot ttg Kabinet Prabowo ,netral,12
 Mungkin ditahan untuk disampaikan ke masy umum Pak cukup dibahas di rapat kabinet,netral,14
 Kabinet gemuk plus menteri2nya kebanyakan bukan hasil meritokrasi tapi bagi2 kursi Udah gemuk gak sehat2 amat pulak Jangankan lari jalan aja susah Lah jadi kayak boss nya yak ,negatif,29
Eh demiapasi wamen2 kabinet skrg begini yg bener ajeeeee,negatif,9
 Yang pasti kabinet dan dewan semakin gendut Diluar efektivitas dan kemampuan anggaran negara,negatif,14
  Para manusia najis ini maunya apa y woi kampret Prabowo itu sudah 3x nyapres selalu gagal Baru kali ini beliau berhasil dan itu karena dukungan Jokowi Kemarin kalau Jokowi dukung Ganjar selesai sdah impian Prabowo Wajar kalau kabinet Prabowo masih diisi beberapa wajah lama,negatif,46
 mosok sudah berjuang 2 kali ikut pilpres gagal jual diri jadi menhan kabinet si joko udah mau di temanin sama Si Goban terus rela di bunuh gitu lalu masa akhir hidupya kayak apa mencret justru si GOBAN bentar lagi ilang menteri2 ex joko di reshuffle,negatif,46
 Dengan adanya desentralisasi semestinya Kabinet dan perangkat lain Pusat tidak terlalu besar sebab Daerah sudah punya otonomi,netral,18
  Lagian tubuh kabinet kok segendut itu sih Apa ga hambur2 uang gaji aja Jumlah menteri lebih banyak dari team karnaval ,negatif,22
 Para manusia najis ini maunya apa y woi kampret Prabowo itu sudah 3x nyapres selalu gagal Baru kali ini beliau berhasil dan itu karena dukungan Jokowi Kemarin kalau Jokowi dukung Ganjar selesai sdah impian Prabowo Wajar kalau kabinet Prabowo masih diisi beberapa wajah lama,negatif,45
 Sesekali pak   wakilnya yg pimpin rapat kabinet berikan arahan2 ke menterinya,negatif,14
 Ada tanda2 menuju perbaikan arah Bangsa ampNegara Indonesia di hari pertama rapat kabinet merah putih yg suka2 blusukanampkunjungan proyek yg tak bermanfaat kecuali unt pencitraanamppemborosan uang negara harap segera berhenti ikuti arahan pimpinanmu toh kamu tak faham apapunfufufafa,negatif,39
 Ayoo buat PETISI Batalkan NURUDDIN jd MENTERI AGAMA Karna NURUDDIN PEMBELA Zionis Israel amp SEKUTU2NYA DIA akn jd DURI Dalam DAGING INI Sangat GENTINGDESAK Presiden Untuk Melakukan RESUFFEL KABINET SEGERA    ,negatif,35
 Presiden menghormat pada menterinya LBP saat sidang kabinet pertama Semakin kacau,negatif,12
kabinet saling mangsa wkwkwk baguslah,negatif,5
hah emang beneran dia jadi mentri perasaan ga ada di list kabinet merah putih deh,negatif,15
 Dah di bilang ini kabinet balas Budi ya gini jadinya ,negatif,12
Maaf yg dapat kerjaan utk kali ini yg pandai jilat yg bau2 partai dan keluarga Anggaran habis buat gaji mereka yg lain minggirnunggu makan gratis saja kalo ada sisa dr anak2 sekolah Kabinet Zaken Taek,negatif,35
Aksi Awal Kabinet Indonesia Gemoy gtBahlil Men ESDM raih S3 scr kontroversial gtPigai Men HAM minta anggaran naik dr 64 miliar jd 20 T gtYusril Menko Hukum katakan tragedi 98 bukan pelanggaran HAM berat gtYandri Men Desa buat surat dgn kop kementrian utk urusan pribadi ,negatif,46
Khawatirku Prabowo ntar kecapekan Krn terlalu kenceng pidato menggebu  gebu akhirnya lupa realisasinya Lihat komposisi dan auranya kabinet ini kabinet rungkad,negatif,22
 Ini bkn soal dukung mendukung terhdp program tsb Tetapi presiden punya alasan yg kuat utk membatalkan program mkn siang gratis dgn pertimbangan  anggaran blum lgi dgn gemuknya kabinet hutang luar negeri dll Tentu publik paham bhw pendidikan gratis jauh lbh baik,netral,43
 Bagaimana agar hasil rapat paripurna kabinet merah putih pertama mampu direalisasikan secara maksimal Sehingga Indonesia Emas 2045 terwujud Streaming  ,netral,22
  Kabinet gonggong goblok dungu bego ini prabowo iniga ngerti hrs nya diseret semua era rezim abal2 ini kepengadilan bg yg bersalah secara hukum bukannya dibiar biarkan jd tak terkendali seperti ini ga bisa lu jd pemimpin buktinya zaman mertua lu aja elu diusir pangkatlu copot,negatif,47
Presiden Prabowo diapresiasi sebagai negarawan sejati karena libatkan generasi muda di Kabinet sebut Komandan TKN  Indonesia Insider ,positif,19
Kapasitasnya apa  Jabatannya diatas menteri  Sekretaris kabinet diatas menteri diantara Presiden  Lalu ada Penasehat Presiden diantara menteri  Banyak jabatan jeda antara Presiden dengan Menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas,negatif,40
 Kapasitasnya apa  Jabatannya diatas menteri  Sekretaris kabinet diatas menteri diantara Presiden  Lalu ada Penasehat Presiden diantara menteri  Banyak jabatan jeda antara Presiden dengan Menteri jadi banyak anggaran gaji yg dibagi dan fungsi struktural yg tidak jelas,negatif,41
Momen Prabowo Minta Izin Ngopi di Sidang Kabinet Paripurna Perdana  ,netral,12
Sidang Kabinet Paripurna Perdana telah secara resmi dibuka oleh Presiden Prabowo Rabu 23 Oktober 2024,netral,15
 Tegas Ketawa aja deh Menyusun kabinet itu hak preogatif presiden nyatanya kabinet Mulyono jilid 3 gemuk dan banyak wamen serta lembaga ataubkantot atau utusan atau apalah yg ujungujung utk balaa jasa pendukung Jokowi Yang begini mai tegas Hahaha ,negatif,40
 Kan kabinet Zaken pak mereka merasa paling ahli,negatif,9
      Ramerame disini menyambut Presiden dan Wapres baru Beserta para menteri kabinet merah putih,negatif,19
 Tepatnya kabinet gerombolan,negatif,4
  Apa yg lu harapin dari kabinet yg diisi lebih banyak pebisnis ys pasti aturan nya bakal ngenakin mereka lah,negatif,21
kabinet gemuk tanda presiden ga bisa kerja,negatif,7
Presiden Prabowo saja tdk mempermasalah kan malah terkesan merasa terbantu dan terserah yg mau bilg apa yg penting Presiden happy saja bahkan dlm sidang kabinet akrab saja dgn Gibran,negatif,29
 Harapan smg orang baik yg peduli kondisi indonesia yg sdh rusak demokrasikonstitusinya 10 th terakhir ini jangan gabung di Kabinet Merah Putih krn Presidennya hasil Pilpres 2024 yg berlangsung TDK NORMAL ORANG BAIK BERSAMA ORANG BAIK ,negatif,38
 Belom seminggu mentri udah pelanggaran 2x  kabinet cap opo toh paakpak,negatif,13
There must be some kind of research about why society focusing on cheating sexuality and sexual topics MORE THAN real problems Kabinet gemuk yg baru berapa hari aja blundernya udah bisa dilist sehalaman ppn naik tambang pasir dll TAPI KENAPA TOPIK KITA MASIH SELANGKANGAN,negatif,44
 Era digital kenapa kabinet jadi gemoy ,negatif,8
 gobloknya kok kompak 1 kabinet terus kalau bikin umkm ternyata ga di support yang bisnisnya jalan lancar ya tementemen hedonis lo doang,negatif,23
  Awalnya sudah salah dengan kabinet gendut Pasar merespon dengan pelemahan rupiah Semoga cepat lepas dari cengkraman Mulyono dan bersih2 dari penjilat Ingat rakyat mengawasi dengan ketat,negatif,28
 Kalo gitu diganti orang sipil bisa menjabat danramil Kenapa tidak bisa,negatif,12
 Semangat terus buat calon menteri kabinet PrabowoGibran semoga sukses dan bisa memberikan yang terbaik untuk negara kita,positif,18
Lah itu Bahlil gelar Doktor bermasalah gak dicopot pak Natalius Pigai blom kerja keras udah tambah anggaran 20 T Bapak  sbg Presiden yg angkat harusnya yg pecat Jgn bosen2 resuffle sampe bener2 clean and clear orang2nya yg disebut profesionalkabinet zakken itu,negatif,42
 Itu sdh benar sesuai namanya Kabinet gemoykabinet obesitas,negatif,9
  Woyyy Mulyono belum selesai dgn dirinya Belum safe biar anak udah RI 2 Kaesbong Ketum parte mantu cagub Klean masih beritain terus Doi akan cawe2 pegang remote control dari Oslo buat anak cucunya Naruh orang2 nya di kabinet bentar juga ikutan kampanye Pilkada,negatif,45
 Kalo ada jalur adu domba pak didu Bu tifa pak refly pak gerung pak roysuryo pasti dah masuk kabinet ,negatif,21
 Anda juru maki yg tidak dapat jatah kabinet dong,negatif,10
 Mana ne pak presiden prabowo masa orang2 gini di kabinet indonesia kuat ,negatif,14
 Manyalaahh Tolong masukkan dalam kabinet Kokom kocheng PUPR untuk mengawasi infrastruktur Soleh kocheng pajak jadikan bendahara nemenin ibu SMI dan sebagai kocheng pariwisata Ini aja Kocheng aaiiuuaiauu ,negatif,29
cok buzzer penyng kabinet makin merajalela ,negatif,6
eh br 3 hari kabinet baru pls stop lah gebrakannya,negatif,10
Karena untuk menampung semua orang yang berjasadalam sejarah indonesia inilah kabinet paling tergemuk dengan 109 orangbaik yang menjadi menteri atau wamen atau staf khusus kementerian apa jadinya ya APBN tahun 2025 nanti ya ,negatif,33
 BAGUS tanda menghargai penggantinya utk memberi uang keputusan ttg pengaturan pemindahan ASN ke IKN SESUAI PERUBAHAN NOMENKLATUR DAN JUMLAH KEMENTERIANLEMBAGA KABINET MERAHA PUTIH tapi pedoman dan tahapan proses pemindahan kan sdh tersusun lama yg jd pedoman,negatif,37
Dapat info orang dalam Bobby K mau bikin kabinet tandingan ,negatif,11
Para menteri dan wakil menteri kabinet Merah Putih besutan Presiden Prabowo Subianto akan menjalani pembekalan di Akademi Militer Akmil Magelang Ja ,netral,22
  Itu kabinet  periode ke 3 ,negatif,8
Presiden Prabowo Subianto angkat bicara terkait banyaknya menteri dalam kabinet yang ia pimpin Sebagai catatan jumlah menteri di Kabinet Merah Putih ,netral,22
Kabinet Rongsokkan berisi orang ex Jokowi yang bobrok penipu penjilat pengkhianat dan korup   Gantung Mati Anjing Peking ,negatif,20
 Bagaimana agar hasil rapat paripurna kabinet merah putih pertama mampu direalisasikan secara maksimal Sehingga Indonesia Emas 2045 terwujud Streaming   ,netral,23
 Semoga bu  secepatnya masuk kabinet pak ,negatif,9
Saya pikir episode luhut tak ada lagi di rezim prabowo ternyata lanjut jg Kalau luhut yg ketua DEN sdh ikut rapat kabinet itu tanda2 bakal byk lg jabatan yg akan dia pegang spt rezim jkw kmrn Gmn ges  ,negatif,40
 Kabinet buang buang duit awas aja kalo ga ada hasilnya Rakyat berhak donk protes apa lagi pemilih mereka kalo punya otak sih ya harusnya lebih marah Karena udah milih mereka tapi kok hasilnya tidak menguntungkan pemilih,negatif,37
 4 pelantikan kabinet,netral,4
 Nahhhh kabinet yg bisa dipercaya ini,positif,7
Sy sepakat dg pidato  disidang perdana kabinet Merah Putih ini semoga kebobrokan Bangsa ini segera pulih setelah 10 th di acakacak  amp yg paling penting ekonomi segera pulih agar keberlangsungan hidup rakyat teratasi amp sengkuni di tindak ,negatif,40
Rapat Kabinet Presiden dan Mentri yg diadakan di Magelang tgl 2327102024 tdk menginap di Hotel tapi tidur di Barak Tentara yg mendengar pasti bilang kasian ya suruh tidur di barak tapi begitu melihat dalamnya siapa yg nggak kepingin tidur di barak Tentara seperti ini ,negatif,45
Ini negara gak sampai 2030 apa yg di bilang  bahwa 2030 negara ini akan bubar alsanya kenapa kita flasback ke belakang 1 Jaman mul korupsi merajai 300T bts dll 2 Warisan hutang sampai 8000T berat sekali 3 Liat kabinet gemuk anggaran bnyak 4 Menterinya gak kompeten,negatif,47
Ini susunan kabinet banyak banget gilaaaa Mejanyaaa banyak banget peluang untuk korupsi menyedihkan sekali untuk rakyat,negatif,16
Merengkuh Masa Depan bandung utama 20 T Pangandaran Polisi Kabinet Merah Putih Knox Vault Luhut Baru 2 Menyambung Juang    ,positif,23
Kritik Rocky Gerung Awal Buruk Kabinet Prabowo  Gibran Dapat Surat Rahasia dari Siswa SD ,negatif,16
  yakin dgn kabinet gemoy gemoy,negatif,7
zaken kabinet baru 3 hari kerja udah blunder aja,negatif,9
 Klo gibran diberi tugas utk memimpin pelaksanaan program makan bergizi gratis gue yakin program akan berantakan kan selama ini dia ngak bisa apa2 Gubran hadir sidang pertama kabinet merah putih nampak kagok duduk di kursi Wapres tak nambah wibawa nya ,negatif,42
 Saya kok membayangkan perasaan dalam hati Pak Prabowo ini nih kondisi mimpin sidang kabinet yg gw idam idamkan puluhan tahun yg lalu,negatif,23
Prabowo Gelar Sidang Kabinet Perdana Utamakan Kepentingan Bangsa dan Negara ,netral,11
 Bahas gmn harinya todayy Klo mau yg agak berat yaa bahas kabinet prabowo,negatif,14
tiap baca berita ttg statement2nya kabinet baru tuh bikin marah n geregetan bgt kaya bs ga si nalar dikit kalo mau ngomong,negatif,22
Mengingat isi rapat kabinet pertama anda kemarin harusnya mentri Yandri dipecat  Baru dilantik saja sudah menyalah gunakan jabatan bagaimana kedepannya  ,negatif,23
kabinet merah putih akan bekerja maksimal mengejar target kinerja 100 hari pertama semua menteri dipaksa untuk bekerja keras menunjukkan kinerja terbaiknya persaingannya adalah dengan diri mereka masing masing untuk pembuktian kompetensi yg sesuai tugas yang diemban,negatif,36
     Ada 13 kader NU di kabinet merah putih yg jadi mentri wamen n ketua lembaga,positif,20
perbandingannya gak sesuai sih Bung Karno membentuk kabinet dwikora setelah ada peristiwa G30S PKI kejadian yang luar biasa dalam sejarah bangsa  membentuk kabinet merah putih tidak ada peristiwa yang setara dgn kejadian itu Indonesia akan baik baik saja,positif,39
 KABINET Baru 1 Hari Dilantik Kelakuan Wapres amp Menteri Fufufafa Kunjungan MRT Yusril Tragedi 98 Bukan Pelanggaran HAM Berat Pigai Dari 64 M Minta Angg 20 T Yandri Salah Gunakan Kop Surat Kementrian Buat Urusan Pribadi Kabinet Balas Jasa Pilihan Rakyat 58 ,negatif,44
Hari ketiga ada aja gebrakan kabinet gemoy,negatif,7
Banyak kali jejak digital para Menteri Prabowo Tolong pak  evaluasi kabinet nya,netral,13
Kabinet Merah Putih ,netral,4
 Kabinet pak  banyak masalah hukum kasus korupsi ,negatif,10
Satu kalimat buat gebrakan menteri2 kabinet merah putih Belum ada satu bulan ,negatif,12
 Tugas sekretaris kabinet adalah menjewer menteri menteri yang nyeleneh dan sekkab itu dijabat perwira berpangkat mayor yang diketentaraan menjabat wadanyon atau danyon  Apa kabinet gemoy itu adalah batalion,negatif,30
kenapa tidak diartikan sebaliknya bahwa sejak awal prabowo sudah menempatkan orang2nya di kabinet jokowi yang kembali terpilih adalah orangorang prabowo yang ditaroh di kabinet jokowi toh skrg juga sudah terlihat ada percobaan beberapa aturan yang disesuaikan  ,negatif,38
 Kasihan kapolrinya  kalo prabowo tau pasti dimaki2  tadi saja disidang kabinet sdg diingatkan semua jgn macam2,negatif,19
 Yang bilang kan mereka karena repli harun tidak jadi Mentri pak Prabowo kalau repli harun masuk kabinet pak Prabowo pasti kabinet pak Prabowo paling bagus,negatif,26
At least nduwe daya paksa tersamar Thus Sidangsidang kabinet bagusnya di hutan wae,negatif,13
 Ya sejajarlah sekarang Lha di kabinet yg sama juga ada mayor AHY kok hehehe,positif,15
Membahas efisiensi anggaran di rapat kabinet yg jumlah menterinya tidak efisien  ,negatif,13
 Puja pujimu nggk sesuai PD kenyataan Bung Pidatonya memang ok namun begitu melihat susunan kabinet nya miris sangat sepertinya bukan pro Rakyat tapi pro balas Budi dipilpres kemarin ,negatif,29
 Wah tambah ngelantur aja kabinet konoha inimaklumlah,negatif,8
