Tokenized,Label_Encoded
"['semangat', 'rela', 'korban', 'kabinet', 'merah', 'pitih']",1
"['beratampterjal', 'nasib', 'ridwan', 'kamil', 'pentas', 'politik', 'nasional', 'icon', 'orang', 'sunda', 'titi', 'karir', 'politik', 'identitas', 'etnis', 'kental', 'tarung', 'jakarta', 'kemas', 'parpol', 'rusak', 'bak', 'simalakama', 'resah', 'masuk', 'kabinet', 'mnyurutkan', 'kader', 'militan', 'u', 'juang']",-1
"['mesti', 'push', 'total', 'dng', 'duduk', 'orang', 'kabinet', 'jadi', 'peluang', 'buka', 'borok', 'kerjaankerjaan', 'kemarin', 'gmn', 'yaa', 'push', 'total', 'perangkat', 'hukum', 'biar', 'sehat', 'kerja', 'nyata']",0
"['halo', 'presiden', 'prabowo', 'subianto', 'laksana', 'sidang', 'kabinet', 'paripurna', 'menteri', 'kabinet', 'merah', 'putih', 'sidang', 'presiden', 'poin', 'jalan', 'wujud', 'bangun', 'nasional']",0
"['wei', 'arie', 'emang', 'gak', 'pantes', 'menteri', 'tolong', 'ganti', 'kabinet', 'merah', 'putih', 'sampe', 'beban', 'info', 'gak', 'masul', 'menteri', 'kemarin', 'titip', 'gak']",-1
"['kabinet', 'merah', 'putih', 'moga', 'esok', 'hri', 'bawa', 'maju', 'rakyat', 'indonesia']",0
"['ex', 'kabinet', 'waspada', 'gera', 'luar', 'komando', 'presiden']",-1
"['itudia', 'berantas', 'maling', 'elit', 'presiden', 'pas', 'umum', 'kabinet', 'isi', 'tukang', 'maling', 'gimana', 'brantas', 'korupsi', 'dalam', 'isi', 'koruptor']",-1
"['geng', 'caplin', 'masuk', 'kabinet', 'gosok', 'adu', 'domba']",-1
"['prof', 'univ', 'mentereng', 'kabinet', 'coba', 'telusur', 'background', 'didik', 'anggota', 'kabinet', 'unik']",-1
"['gembleng', 'kabinet', 'istilah', 'retreat', 'istilah', 'retreat', 'umat', 'kristiani', 'introspeksi', 'bina', 'iman', 'prilaku', 'hidup', 'retreat', 'tampil', 'menu', 'makan', 'joget', 'saat', 'banyak', 'buruh', 'industri', 'phk']",-1
"['kalo', 'pilih', 'kabinet', 'bas', 'popularitas']",-1
"['ngga', 'peduli', 'cemooh', 'orang', 'suruh', 'bagiin', 'topi', 'kader', 'end', 'gamenya', 'ken', 'anggota', 'dpr', 'masuk', 'kabinet', 'target', 'komisaris']",-1
"['kabinet', 'dukung', 'langkah', 'lindung', 'hak', 'asasi', 'manusia']",1
"['ipolidwakil', 'menteri', 'uang', 'anggito', 'abimanyu', 'mobil', 'maung', 'produksi', 'bumn', 'pt', 'pindad', 'kendara', 'dinas', 'jabat', 'menteri', 'eselon', 'i', 'kabinet', 'merah', 'putih']",0
"['kabinet', 'merah', 'putih', 'bentuk', 'cipta', 'anggota', 'super', 'team', 'pecah', 'negara']",1
"['kau', 'beda', 'setmilpres', 'sekretaris', 'kabinet']",-1
"['mesti', 'tri', 'keluar', 'kabinet', 'prabowo', 'bikin', 'malu', 'bikin', 'rusak', 'negara']",-1
"['nya', 'pilih', 'tri', 'habis', 'pikir', 'kabinet', 'merah', 'putih', 'oh']",-1
"['wow', 'anggar', 'gaji', 'jabat', 'kabinet', 'merah', 'putih', 'persen', 'periode']",1
"['kabinet', 'plg', 'kontrovesial', 'sejarah', 'mengakomodir', 'penting', 'oligarki', 'amp', 'jokowi', 'akibat', 'kabinet', 'obesitas', 'amp', 'lambat', 'menteri', 'korup', 'reaksi', 'pasar', 'rupiah', 'anjlok', 'utang']",-1
"['semiotika', 'zaken', 'kabinet', 'difahami', 'abai', 'presiden', 'prabowo', 'angkat', 'orang', 'milik', 'kompetensi', 'salah', 'ari', 'lanjut']",-1
"['sy', 'sepakat', 'pidato', 'sidang', 'perdana', 'kabinet', 'merah', 'putih', 'moga', 'bobrok', 'bangsa', 'pulih', 'th', 'acakacak', 'amp', 'ekonomi', 'pulih', 'langsung', 'hidup', 'rakyat', 'atas', 'amp', 'sengkuni', 'tindak']",-1
"['kuat', 'lantik', 'anjlok', 'kabinet', 'gemuk']",-1
"['seskab', 'ngurus', 'kabinet', 'gimana', 'paok', 'wkwkwkw']",-1
"['presiden', 'yth', 'mohon', 'ditindaklanjuti', 'marwah', 'kabinet', 'bersih', 'korupsi', 'cc']",-1
"['fadli', 'zon', 'prabowo', 'dalam', 'program', 'rencana', 'target', 'kabinet', 'merah', 'putih', 'akmil', 'magelang', 'artikel', 'tayang', 'judul', 'fadli', 'zon', 'prabowo', 'dalam', 'program', 'rencana', 'target', 'kabinet', 'merah', 'putih', 'akmil']",0
"['titip', 'udah', 'masuk', 'kabinet']",-1
"['km', 'anti', 'militer', 'coba', 'background', 'presiden', 'gaya', 'pimpin', 'serah', 'presiden', 'gembleng', 'pasu', 'kabinet', 'nya', 'feel', 'on', 'field', 'brainstorm', 'tindak', 'luhur', 'laku', 'negara']",-1
"['fenomena', 'bukti', 'kuat', 'cawe', 'cawe', 'kuasa', 'presiden', 'prabowo', 'satu', 'presiden', 'milik', 'hak', 'prerogatif', 'kabinet', 'cawe', 'cawe', 'susup', 'cita', 'cita', 'periode', 'hukum', 'asai', 'kuasa', 'bengis']",-1
"['negara', 'gak', 'bilang', 'negara', 'bubar', 'alsanya', 'flasback', 'jaman', 'mul', 'korupsi', 'raja', 't', 'bts', 'waris', 'hutang', 't', 'berat', 'kabinet', 'gemuk', 'anggar', 'bnyak', 'menteri', 'gak', 'kompeten']",-1
"['moga', 'wujud', 'apresiasi', 'tingkat', 'produktivitas', 'staff', 'semangat', 'jalan', 'tugas', 'wajib', 'motivasi', 'semangat', 'staff', 'bem', 'fisip', 'upn', 'veteran', 'yogyakarta']",0
"['menteri', 'ajudan', 'analisa', 'teman', 'menteri', 'sekretariat', 'kabinet', 'menteri', 'negeri', 'menteri', 'negeri', 'tahu', 'hubung', 'internasional', 'background', 'sekolah', 'gak', 'bau', 'hi', 'menteri', 'prabowo', 'rangkap', 'presiden']",-1
"['presiden', 'prabowo', 'masa', 'kes', 'bantu', 'serah', 'bilg', 'presiden', 'happy', 'sidang', 'kabinet', 'akrab', 'gibran']",-1
"['badan', 'publik', 'kementerianbadan', 'layan', 'prima', 'masyarakat', 'rakyat', 'harap', 'percaya', 'presiden', 'menteri', 'kabinet', 'merah', 'putih', 'rubah', 'wajah', 'perintah']",0
"['kmren', 'kritik', 'bbrp', 'menteri', 'dkabinet', 'prabowo', 'dukung', 'prabowo', 'ngomong', 'dukung', 'gak', 'banyak', 'protes', 'kabinet', 'prabowo', 'lantas', 'klw', 'sprti', 'injadinya', 'pajak', 'it', 'dukung', 'prabowo', 'klw', 'blh', 'kyk', 'gtu', 'janji', 'protes', 'lg']",-1
"['d', 'debat', 'kocak']",-1
"['ehkeknya', 'nyadar', 'usaha', 'gagal', 'mulu', 'banting', 'stir', 'doikemaren', 'udah', 'posting', 'x', 'foto', 'ama', 'tri', 'kabinet', 'merah', 'putih']",-1
"['batal', 'tarik', 'pdip', 'kabinet', 'inti', 'mau', 'jokowi', 'prabowo', 'lantik', 'prabowo', 'apa', 'lalu', 'reshuffle', 'depan', 'jegal', 'hina', 'harkat', 'martabat', 'prabowo']",-1
"['imj', 'pimpin', 'partai', 'ppkr', 'maryam', 'nur', 'lantik', 'pimpin', 'kabinet', 'snbcc', 'uir', 'ket', 'pimpin', 'kabinet', 'jabat', 'bentuk', 'apresiasi', 'menang', 'partai', 'menang', 'milu', 'majelis', 'negara']",0
"['panglima', 'tni', 'retreat', 'kabinet', 'sama', 'visi', 'misi', 'korupsi']",0
"['kabinet', 'merah', 'putih', 'fokus', 'tingkat', 'kualitas', 'sehat', 'masyarakat']",1
"['bagus', 'program', 'syang', 'ngomong', 'tri', 'kabinet', 'janji', 'bukti', 'zonk', 'kabar', 'gembira', 'korban', 'judi', 'online', 'perintah', 'bantu', 'latih', 'kerja']",-1
"['luhut', 'zulhas', 'bw', 'anak', 'org', 'kompeten', 'kebal', 'bukti', 'masuk', 'kabinet']",-1
"['menteri', 'dagang', 'menteri', 'bumn', 'menteri', 'tahan', 'pangan', 'menteri', 'industri', 'menteri', 'negeri', 'menteri', 'ketar', 'kabinet', 'gubernur', 'jateng', 'bupati', 'dst', 'nya', 'demo', 'besarbesaran']",-1
"['murid', 'no', 'dri', 'negara', 'buruk', 'dunia', 'menteri', 'dikdas', 'kabinet', 'merah', 'putih', 'pres', 'p', 'haji', 'jenderal', 'tni', 'ad', 'prabowo', 'subianto', 'bin', 'soemitro', 'djojohadikoesoemo', 'niat', 'ranking', 'pisa', 'pakai', 'maksiber', 'makan', 'siang', 'gizi', 'in', 'sya', 'allah']",-1
"['perintah', 'kalang', 'islam', 'sebut', 'kabinet', 'masyumi', 'waperdamnya', 'masyumi', 'perdana', 'menteri', 'hatta', 'kabinet', 'masyumi', 'orang', 'sistem', 'parlementer', 'masyumi', 'no', 'milu', 'mayoritas', 'parlemen']",-1
"['presiden', 'prabowo', 'subianto', 'pimpin', 'sidang', 'kabinet', 'paripurna', 'kantor', 'presiden', 'jajar', 'menteri', 'lembaga', 'prioritas', 'program', 'swasembada', 'pangan', 'ometv', 'cat', 'baim', 'pecat', 'tuhan', 'maha', 'esa']",0
"['menteri', 'hutan', 'sby', 'menteri', 'dagang', 'jokowi', 'menko', 'pangan', 'kabinet', 'merah', 'putih', 'zulhas', 'depan', 'mata', 'jgn', 'swasembada', 'puluh', 'batas', 'mimpi', 'n', 'agenda', 'citra', 'ulang']",0
"['kabinet', 'obesitas', 'sakit', 'kumpul', 'tunggu', 'anfal', 'nya']",-1
"['yandri', 'aku', 'salah', 'janji', 'ulang', 'kabinet', 'presiden', 'menteri', 'aku', 'salah', 'keliru', 'nya', 'aku', 'salah', 'tolerir', 'salah', 'akibat', 'bodoh']",1
"['yaahnamanya', 'usaha', 'kali', 'penasaran', 'wiranto', 'masuk', 'kabinet']",0
"['orang', 'kotor', 'kabinet', 'merah', 'putih']",-1
"['bismillah', 'staf', 'kabinet', 'merah', 'putih']",1
"['barusan', 'anak', 'komen', 'gimana', 'negara', 'bersih', 'korupsi', 'ponakan', 'wapres', 'mafia', 'tanah', 'biar', 'presiden', 'wapres', 'kabinet', 'ma', 'bpk', 'dpr', 'korup', 'biar', 'manusia', 'bumi', 'korup', 'korup']",-1
"['gmni', 'optimistis', 'kabinet', 'merah', 'putih', 'jalan', 'program', 'prabowogibran']",1
"['ngelantur', 'kabinet', 'konoha', 'inimaklumlah']",-1
"['sore', 'rabu', 'ikut', 'sidang', 'kabinet', 'paripurna', 'pimpin', 'presiden', 'prabowo', 'subianto', 'wapres', 'gibran', 'rakabuming', 'raka', 'istana', 'negara', 'jakarta']",0
"['kapasitas', 'jabat', 'atas', 'menteri', 'sekretaris', 'kabinet', 'atas', 'menteri', 'presiden', 'nasehat', 'presiden', 'menteri', 'jabat', 'jeda', 'presiden', 'menteri', 'anggar', 'gaji', 'bagi', 'fungsi', 'struktural']",-1
"['presiden', 'mandiri', 'nenentukan', 'kabinet', 'putus', 'negara', 'mandiri']",-1
"['kabinet', 'serius', 'tangan', 'isuisu', 'sosial', 'bagus', 'banget']",0
"['perkara', 'sulit', 'so', 'menteri', 'kabinet', 'usaha', 'tambang', 'keluarga', 'prabowo']",-1
"['pakai', 'uang', 'pribadi', 'prabowo', 'biaya', 'retreat', 'kabinet', 'merah', 'putih', 'akmil', 'magelang', 'baca']",0
"['cuman', 'ganti', 'wakil', 'buang', 'liyalis', 'mulyono', 'kabinet', 'amamn', 'sejahtrapoinya', 'berani', 'engga']",-1
"['salut', 'kabinet', 'merah', 'putih', 'fokus', 'banget', 'lingkung', 'hidup']",1
"['prabowo', 'kuat', 'kabinet', 'solid']",1
"['besok', 'kabinet', 'merah', 'putih', 'bikin', 'gebrak']",-1
"['kabinet', 'merahputih', 'prabowo', 'subianto', 'kuat', 'komitmen', 'cipta', 'hijau', 'amp', 'lanjut', 'langkah', 'strategis', 'wujud', 'mandiri', 'energi', 'nasional']",1
"['makan', 'siang', 'gratis', 'anggar', 't', 'kabinet', 'gemuk', 'menteri', 'lembaga', 'negara', 'gaji', 'tani', 'milenial', 'jt', 'bulan', 'butuh', 'kaji', 'anggar', 'pilkada', 'serentak', 'keluar', 'anggar']",-1
"['bagus', 'tanda', 'harga', 'ganti', 'uang', 'putus', 'ttg', 'atur', 'pindah', 'asn', 'ikn', 'sesuai', 'ubah', 'nomenklatur', 'kementerianlembaga', 'kabinet', 'meraha', 'putih', 'pedoman', 'tahap', 'proses', 'pindah', 'susun', 'pedoman']",-1
"['ketua', 'mpr', 'tan', 'amran', 'menteri', 'kabinet', 'merah', 'putih', 'kerja']",1
"['presiden', 'prabowo', 'subianto', 'biaya', 'giat', 'retret', 'kabinet', 'merah', 'putih', 'akademi', 'militer', 'akmil', 'magelang', 'jawa', 'uang', 'pribadi', 'giat', 'orientasi', 'perintah', 'prabowogibran', 'sejahtera', 'rakyat', 'mandiri', 'bangsa']",0
"['daftarin', 'anggota', 'kabinet', 'wowo', 'biarin']",-1
"['salut', 'programprogramnya', 'kabinet', 'merah', 'putih', 'tahan', 'pangan', 'sampe', 'digitalisasi', 'top']",0
"['didu', 'masuk', 'kabinet', 'kategori', 'juru', 'omon', 'omon']",-1
"['full', 'pidato', 'presiden', 'prabowo', 'rapat', 'perdana', 'kabinet', 'merah', 'putih', 'program', 'makan', 'gratis', 'birokrasi']",0
"['tema', 'melambang', 'semangat', 'bangsa', 'kuat', 'ajak', 'satu', 'jaga', 'identitas', 'nasional', 'amp', 'kuat', 'cinta', 'tanah', 'air', 'rangkai', 'upacara', 'ikut', 'khidmat', 'serta', 'menteri', 'amp', 'kepala', 'lembaga', 'kabinet', 'merah', 'putih']",-1
"['ketawa', 'susun', 'kabinet', 'hak', 'preogatif', 'presiden', 'kabinet', 'mulyono', 'jilid', 'gemuk', 'wamen', 'lembaga', 'ataubkantot', 'utus', 'apa', 'ujungujung', 'balaa', 'jasa', 'dukung', 'jokowi', 'mai', 'hahaha']",-1
"['kabinet', 'isi', 'nya', 'koruptor', 'backing', 'judulini', 'fakta']",-1
"['bukti', 'sempet', 'nemenin', 'serah', 'petisi', 'asisten', 'deputi', 'bidang', 'sumber', 'daya', 'mineral', 'lingkung', 'hidup', 'sekretariat', 'kabinet', 'troeno', 'marayoga', 'sh', 'llm', 'ntah', 'beliau', 'setkab', 'gak', 'hehehe']",-1
"['alkhamdulilah', 'presiden', 'moga', 'amanat', 'tegak', 'sesuai', 'arah', 'kabinet', 'merah', 'putih']",1
"['harap', 'menterimenteri', 'kabinet', 'merah', 'putih', 'depan', 'asbun', 'sekali', 'salah', 'ngomong', 'goreng', 'kabinet', 'wkwk']",-1
"['prabowo', 'kabinet', 'merah', 'putih', 'mobil', 'negeri']",0
"['reatreat', 'akmil', 'uang', 'pribadi', 'kampanye', 'politik', 'arah', 'menteri', 'kabinet', 'programprogram', 'tetap', 'ketidakpuasan', 'sampai', 'pasca', 'sidang', 'kabinet', 'tegas', 'ulang']",-1
"['kabar', 'kabinet', 'super', 'kuat', 'mayoritas', 'kuat', 'sebut', 'kabinet', 'kaki', 'satu', 'kuat', 'tnipolri', 'oligarki', 'parpol', 'kaum', 'kiri']",-1
"['duga', 'stres', 'berat', 'panggil', 'masuk', 'kabinet']",-1
"['bilang', 'repli', 'harun', 'tri', 'prabowo', 'repli', 'harun', 'masuk', 'kabinet', 'prabowo', 'kabinet', 'prabowo', 'bagus']",-1
"['kabinet', 'merah', 'putih', 'komitmen', 'tingkat', 'sejahtera', 'sosial']",1
"['sektor', 'tani', 'maju', 'thanks', 'to', 'kabinet', 'merah', 'putih']",1
"['pusing', 'banget', 'baca', 'twitter', 'baca', 'berita', 'kabinet', 'allah', 'degdegan', 'banget', 'bikin', 'anxiety']",-1
"['om', 'ndons', 'bilangin', 'gemoy', 'libas', 'tuch', 'orang', 'mulyono', 'kabinet', 'parasit', 'mrk', 'tuch', 'berani', 'gak', 'gemoy']",-1
"['kabinet', 'reshuffle', 'liat', 'kerja', 'pecat', 'hormat']",0
"['reshuffle', 'kabinet', 'smoga', 'd', 'angkat', 'jdi', 'menteri', 'biar', 'nampak', 'hasil', 'jilat']",-1
"['iya', 'sihhtapi', 'dengar', 'tri', 'kabinet', 'merah', 'putih', 'angkat', 'prabowo', 'koruptor']",-1
"['wow', 'kabinet', 'enhypen', 'merdeka', 'padat', 'ment', 'smangat', 'ment']",-1
"['moga', 'bkn', 'upaya', 'ganti', 'main', 'khawatir', 'dasar', 'alam', 'hasil', 'operasi', 'berantas', 'website', 'judol', 'kabinet', 'bhw', 'perintah', 'rusak', 'biar', 'judol', 'bangsat']",-1
"['untung', 'gak', 'kader', 'pdip', 'kabinet', 'merah', 'putih']",-1
"['ahy', 'rapat', 'kabinet', 'bareng', 'presiden', 'prabowo', 'gas', 'kasih', 'kendor']",1
"['isu', 'kemaren', 'gagal', 'bikin', 'gibran', 'gagal', 'lantik', 'bikin', 'isu', 'kudeta', 'sebut', 'bbrp', 'nama', 'rapat', 'presiden', 'isu', 'dpt', 'drmn', 'tifa', 'kau', 'paranormal', 'orang', 'kabinet', 'dpt', 'bisik']",-1
"['sebab', 'knapa', 'ps', 'full', 'power', 'gas', 'kabinet', 'bentuk', 'mimpi', 'kualitas', 'pimpin', 'hebat', 'kaya', 'rayap', 'tatih', 'tatih', 'bolak', 'solo']",-1
"['akses', 'didik', 'buka', 'lebar', 'salut', 'kabinet', 'merah', 'putih']",1
"['ordal', 'presiden', 'ln', 'menteri', 'bersih', 'jejak', 'sorot', 'jaksa', 'rencana', 'presiden', 'pulang', 'audit', 'menteri', 'menteri', 'ken', 'masuk', 'kabinet', 'fyi']",-1
"['jdikn', 'gunawan', 'menteri', 'pdip', 'menyangkl', 'masuk', 'kabinet']",-1
"['personil', 'pilih', 'isi', 'kabinet', 'kaget']",-1
"['indonesia', 'hadap', 'berat', 'moga', 'kabinet', 'jalan']",-1
"['hai', 'hai', 'hai', 'kabinet', 'orangorang', 'nya', 'tementemen', 'penasaran', 'gak', 'anggotaanggota', 'osis', 'lamalama', 'nunggu', 'langsung', 'cuuus', 'tiktok', 'osis', 'sma', 'igs']",0
"['kabinet', 'ken', 'mepet', 'jt']",0
"['menteri', 'hutan', 'raja', 'juli', 'antoni', 'retreat', 'kabinet', 'merah', 'putih', 'jelas', 'orientasi']",1
"['kabinet', 'merah', 'putih', 'udah', 'jalanin', 'program', 'kerja', 'solid']",1
"['ajar', 'kabinet', 'ko', 'isi', 'nya', 'orang', 'ajar', 'gimna', 'bantu', 'urus', 'negara', 'tri', 'nya', 'ajar', 'alam', 'otak', 'skrng']",-1
"['emang', 'rusa', 'parah', 'bangsa', 'berat', 'anggota', 'kabinet', 'titip', 'mulyono', 'sangka', 'dijdkan', 'duta', 'uang', 'saku']",-1
"['kabinet', 'merah', 'putih', 'skrng', 'pny', 'ikat', 'kuat', 'wajib', 'militer', 'magelang', 'presiden', 'kasih', 'arah', 'lgsg', 'spy', 'menteri', 'gerak', 'semangat', 'untk', 'rakyat']",0
"['kabinet', 'gemuk', 'tanda', 'presiden', 'kerja']",-1
"['susun', 'kabinet', 'orisionil', 'dasar', 'meriktokrasi', 'balas', 'jasa', 'kabinet', 'sandera', 'presiden', 'kuasa', 'tentu', 'menteri', 'batu', 'sukses', 'program', 'nya', 'bantu', 'sdg', 'sekongkol']",-1
"['hati', 'sepi', 'operasi', 'kpu', 'bawaslu', 'lapang', 'asli', 'menang', 'akal', 'kotak', 'coblos', 'menang', 'rk', 'kabinet', 'nama', 'kim', 'jong', 'ngos', 'mulyono', 'adik', 'kim', 'jong', 'un', 'tanda', 'komunis', 'bangkit', 'nyata']",-1
"['emang', 'iya', 'kabinet', 'prabowo', 'orang', 'libat', 'korupsi', 'tangan', 'korupsi', 'alamat']",-1
"['aduh', 'salting', 'gulingin', 'kabinet', 'perintah', 'damn', 'bro', 'ngucapin', 'pepero', 'day', 'in', 'a', 'very', 'cutesy', 'way', 'mules']",-1
"['war', 'biassaahhh', 'menteri', 'prabowo', 'lucu', 'kalo', 'kabinet', 'kabinet', 'balas', 'hadeuhhh']",-1
"['ganti', 'presiden', 'kabinet', 'rombak', 'aju', 'banding', 'tuan', 'dikaexsa', 'bang', 'lumayan', 'anggara']",-1
"['mari', 'telusur', 'pelbagai', 'duga', 'balik', 'pernyatan', 'exmenteri', 'kominfo', 'komdigi', 'nyata', 'dpt', 'tanda', 'pimpin', 'kabinet', 'rejim', 'menteri', 'kabinet', 'percaya', 'proses', 'seleksi']",-1
"['presiden', 'gerak', 'cpt', 'bikin', 'kabinet', 'solid', 'program', 'wajib', 'militer', 'magelang', 'untk', 'latih', 'menteri', 'disiplin', 'amp', 'kerja', 'bareng', 'tim', 'kompak', 'bangun', 'negeri']",1
